name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Evander Kane,S.J,L,all,64,74903,46,26
Ilya Lyubushkin,ARI,D,all,51,43351,4,0
Frans Nielsen,DET,C,all,60,49209,8,4
Josh Anderson,CBJ,R,all,26,25104,4,1
Auston Matthews,TOR,C,all,70,87890,80,47
Gabriel Carlsson,CBJ,D,all,6,3916,0,0
Jayson Megna,COL,C,all,8,3222,0,0
Vince Dunn,STL,D,all,71,68646,23,9
Jake DeBrusk,BOS,L,all,65,62435,35,19
Johnny Boychuk,NYI,D,all,64,66215,12,2
Thomas Chabot,OTT,D,all,71,110653,39,6
Alexandre Carrier,NSH,D,all,3,1935,0,0
Givani Smith,DET,R,all,21,12151,3,2
Dante Fabbro,NSH,D,all,64,73043,12,5
Brendan Gallagher,MTL,R,all,59,59839,44,23
Matt Duchene,NSH,C,all,66,66811,42,13
Rudolfs Balcers,OTT,L,all,15,11025,3,1
Mark Scheifele,WPG,C,all,71,92844,72,29
Peter Cehlarik,BOS,L,all,3,2024,1,0
Aleksi Saarela,FLA,C,all,9,6612,4,2
Jordan Staal,CAR,C,all,68,71306,27,8
Keegan Kolesar,VGK,R,all,1,726,0,0
Colin Blackwell,NSH,C,all,27,17746,10,3
Steven Stamkos,T.B,C,all,57,62423,62,28
Dalton Smith,BUF,L,all,1,86,0,0
Michael Sgarbossa,WSH,C,all,2,973,0,0
Tim Heed,S.J,D,all,38,29621,5,1
Troy Terry,ANA,R,all,48,41528,15,4
Colton Parayko,STL,D,all,64,86977,27,10
Milan Lucic,CGY,L,all,68,54277,21,8
Anthony Angello,PIT,C,all,8,2745,1,1
Alexander Radulov,DAL,R,all,60,60146,33,15
Dominik Simon,PIT,C,all,64,55229,22,7
Brett Kulak,MTL,D,all,56,57525,6,0
Jake Guentzel,PIT,L,all,39,48191,45,20
Erik Karlsson,S.J,D,all,56,82426,41,6
Brad Richardson,ARI,C,all,59,48273,11,6
Brent Burns,S.J,D,all,70,106500,45,12
Daniel Carr,NSH,L,all,11,6822,1,1
Yakov Trenin,NSH,C,all,21,12284,6,2
Trevor Daley,DET,D,all,43,40360,7,0
John Klingberg,DAL,D,all,58,77093,32,7
Miro Heiskanen,DAL,D,all,68,96775,36,8
Patrik Nemeth,DET,D,all,64,84559,9,1
Jansen Harkins,WPG,C,all,29,18451,6,2
Torey Krug,BOS,D,all,61,75053,47,10
Josh Brown,FLA,D,all,55,44298,8,3
Jaret Anderson-Dolan,L.A,C,all,4,2462,0,0
Matt Grzelcyk,BOS,D,all,68,73601,21,4
Matt Tennyson,N.J,D,all,20,14589,3,0
Neal Pionk,WPG,D,all,71,99490,45,6
Sebastian Aho,CAR,C,all,68,79050,64,38
Jordan Martinook,CAR,L,all,45,30384,14,2
Nick Seeler,CHI,D,all,12,8588,1,0
Colton White,N.J,D,all,6,5035,0,0
Alex Biega,DET,D,all,49,48258,2,0
Roope Hintz,DAL,L,all,60,53039,34,19
Otto Leskinen,MTL,D,all,5,3088,0,0
Alexander Steen,STL,L,all,55,45399,16,6
Joey Anderson,N.J,R,all,18,14289,7,4
Stefan Matteau,CBJ,C,all,9,6681,3,2
Klim Kostin,STL,C,all,4,2049,1,1
Brent Seabrook,CHI,D,all,32,34867,4,3
Barclay Goodrow,T.B,C,all,70,66796,26,8
Drake Caggiula,CHI,C,all,40,28344,15,9
Zach Whitecloud,VGK,D,all,16,13624,1,0
Jonny Brodzinski,S.J,C,all,3,1332,1,0
Austin Poganski,STL,R,all,1,354,0,0
Nicholas Shore,WPG,C,all,63,34650,6,3
Kaapo Kakko,NYR,R,all,66,56474,22,10
Vladimir Tarasenko,STL,R,all,10,9705,10,3
Max Jones,ANA,L,all,59,49816,12,8
Connor Murphy,CHI,D,all,58,73928,19,5
Travis Boyd,WSH,C,all,24,16973,10,3
Pavel Buchnevich,NYR,R,all,68,68950,46,17
Zemgus Girgensons,BUF,C,all,69,57145,19,12
Christian Dvorak,ARI,C,all,70,69963,38,18
Joel L'Esperance,DAL,R,all,3,1322,1,1
Travis Konecny,PHI,R,all,66,66138,60,24
Matt Nieto,COL,L,all,70,56659,21,8
Jason Robertson,DAL,L,all,3,2218,1,0
Alexander True,S.J,C,all,12,7202,4,0
Cale Fleury,MTL,D,all,41,35299,1,1
Rocco Grimaldi,NSH,R,all,66,50045,31,10
Nicklas Backstrom,WSH,C,all,61,69434,55,12
Evgenii Dadonov,FLA,R,all,68,69908,45,24
Alexander Edler,VAN,D,all,59,79345,33,5
Luke Witkowski,T.B,R,all,12,6362,3,1
Brett Pesce,CAR,D,all,61,79986,18,4
Jonathan Huberdeau,FLA,L,all,68,76701,75,22
Darnell Nurse,EDM,D,all,71,99743,33,5
Jakub Voracek,PHI,R,all,69,70088,54,12
Frank Vatrano,FLA,C,all,68,61099,34,16
Matthew Highmore,CHI,C,all,36,21196,6,2
Deryk Engelland,VGK,D,all,49,51649,6,1
Lukas Vejdemo,MTL,C,all,7,3324,1,1
Mackenzie MacEachern,STL,L,all,51,26848,10,7
Nick Caamano,DAL,R,all,12,7175,2,1
Vincent Trocheck,CAR,C,all,61,61252,38,11
Nic Dowd,WSH,C,all,56,36457,15,7
Egor Korshkov,TOR,R,all,1,608,1,1
Dylan Gambrell,S.J,C,all,50,35862,12,5
Vladislav Gavrikov,CBJ,D,all,69,78476,19,5
Brendan Leipsic,WSH,L,all,61,33552,11,3
Colton Sceviour,FLA,C,all,68,53823,16,6
Mark Borowiecki,OTT,D,all,53,56936,17,7
Colin White,OTT,C,all,61,57248,23,7
Andreas Johnsson,TOR,L,all,43,40644,22,9
Joel Eriksson Ek,MIN,C,all,62,58390,30,8
Max Veronneau,OTT,R,all,4,2020,0,0
Claude Giroux,PHI,C,all,69,78091,52,20
Joakim Nordstrom,BOS,C,all,48,34783,7,4
Andre Burakovsky,COL,L,all,58,52675,45,19
Sam Lafferty,PIT,C,all,50,28827,13,5
Nino Niederreiter,CAR,R,all,67,59527,29,11
Anders Lee,NYI,L,all,68,74570,42,20
Daniel Sprong,ANA,R,all,8,6757,2,1
Ryan O'Reilly,STL,C,all,71,86588,60,12
Joel Armia,MTL,R,all,58,59991,30,16
Joakim Ryan,L.A,D,all,35,40105,5,1
Jonas Siegenthaler,WSH,D,all,64,60478,9,2
Elias Lindholm,CGY,C,all,70,82651,53,29
Maxime Lajoie,OTT,D,all,6,2814,0,0
Martin Frk,L.A,R,all,17,14115,8,6
Kieffer Bellows,NYI,L,all,8,5099,3,2
Luke Schenn,T.B,D,all,25,18441,3,1
Blake Lizotte,L.A,C,all,65,54437,22,6
John Carlson,WSH,D,all,69,101430,74,15
Kiefer Sherwood,ANA,R,all,9,7328,1,0
Pavel Zacha,N.J,C,all,65,63335,32,8
Jake Walman,STL,D,all,1,664,0,0
Adam Lowry,WPG,C,all,49,43987,9,3
David Kampf,CHI,C,all,70,57373,16,8
Aaron Ekblad,FLA,D,all,66,90921,40,5
Clark Bishop,CAR,C,all,5,2314,1,0
