name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Joe Pavelski,DAL,C,all,56,63932,51,25
Rem Pitlick,NSH,C,all,10,6782,2,0
Travis Sanheim,PHI,D,all,55,72204,14,2
Ilya Lyubushkin,ARI,D,all,42,39527,2,1
Frans Nielsen,DET,C,all,29,21035,6,1
Alex Chiasson,EDM,R,all,45,33707,16,9
Ryan McLeod,EDM,C,all,10,7673,1,0
Jackson Cates,PHI,C,all,4,2544,1,0
Sam Carrick,ANA,C,all,13,10079,6,2
Nick Bjugstad,MIN,C,all,44,31181,17,6
Matt Duchene,NSH,C,all,34,32272,13,6
John Tavares,TOR,C,all,56,61140,50,19
Alexander Volkov,ANA,R,all,37,25853,13,7
Matt Irwin,BUF,D,all,24,23401,2,0
Noah Gregor,S.J,C,all,30,21105,6,5
Nikita Gusev,FLA,L,all,27,23324,10,4
Cody Glass,VGK,C,all,27,23555,10,4
Oliver Ekman-Larsson,ARI,D,all,46,57871,24,3
Matt Martin,NYI,L,all,54,35864,11,6
Victor Hedman,T.B,D,all,54,81164,45,9
Cam Atkinson,CBJ,R,all,56,63548,34,15
Nathan Beaulieu,WPG,D,all,25,25091,1,0
Juuso Riikola,PIT,D,all,2,1371,0,0
Brendan Lemieux,L.A,L,all,49,29714,11,4
Buddy Robinson,CGY,R,all,9,3854,0,0
Connor McDavid,EDM,C,all,56,74418,105,33
Barclay Goodrow,T.B,C,all,55,49895,20,6
Oliver Kylington,CGY,D,all,8,6279,1,0
Brenden Dillon,WSH,D,all,56,63647,19,2
Adam Brooks,TOR,C,all,11,7046,5,4
Ryan Murray,N.J,D,all,48,53628,14,0
Troy Stecher,DET,D,all,44,45638,11,3
Tyler Ennis,EDM,C,all,30,21827,9,3
Jayson Megna,COL,C,all,7,4306,2,0
Nino Niederreiter,CAR,R,all,56,52811,35,20
Troy Terry,ANA,R,all,48,42338,20,7
Tim Gettinger,NYR,L,all,2,1419,0,0
Dakota Mermis,MIN,D,all,3,2952,0,0
MacKenzie Weegar,FLA,D,all,54,71660,36,6
Brayden Point,T.B,C,all,56,61843,48,23
Blake Coleman,T.B,C,all,55,51092,31,14
Morgan Rielly,TOR,D,all,55,77921,36,5
Tanner Jeannot,NSH,L,all,15,10917,7,5
Alec Martinez,VGK,D,all,53,71772,31,9
Mattias Samuelsson,BUF,D,all,12,12982,2,0
Alex Wennberg,FLA,C,all,56,61126,29,17
Phillip Danault,MTL,C,all,53,53682,24,5
Mikael Backlund,CGY,C,all,54,57005,32,9
Christian Djoos,DET,D,all,36,32576,11,2
Casey Cizikas,NYI,C,all,56,46495,14,7
Mark Jankowski,PIT,C,all,45,28920,11,4
Ryan Nugent-Hopkins,EDM,C,all,52,64792,35,16
Dmitry Orlov,WSH,D,all,51,60633,22,8
Jake Gardiner,CAR,D,all,26,25034,8,0
Christian Wolanin,L.A,D,all,18,14375,3,0
Pierre-Luc Dubois,WPG,L,all,46,41417,21,9
Nicolas Hague,VGK,D,all,52,49918,17,5
Erik Gudbranson,NSH,D,all,45,48397,4,1
Evgenii Dadonov,OTT,R,all,55,51410,20,13
Ryan Graves,COL,D,all,54,61741,15,2
Daniel Walcott,T.B,L,all,1,603,0,0
Scott Laughton,PHI,C,all,53,49016,20,9
Brandon Montour,FLA,D,all,50,61450,18,7
Justin Braun,PHI,D,all,53,58949,6,1
Andrew Mangiapane,CGY,L,all,56,55983,32,18
Jeff Carter,PIT,C,all,54,53672,30,17
Drake Caggiula,BUF,C,all,38,28278,10,3
Alec Regula,CHI,D,all,3,2228,0,0
Logan Brown,OTT,C,all,1,580,0,0
Matt Tennyson,N.J,D,all,21,18276,3,1
Fredrik Handemark,S.J,C,all,8,4539,1,1
Tucker Poolman,WPG,D,all,39,42841,1,0
Tanner Laczynski,PHI,C,all,5,2993,0,0
Stefan Matteau,CBJ,C,all,18,11690,1,1
John Leonard,S.J,L,all,44,29731,13,3
Philippe Myers,PHI,D,all,44,49847,11,1
Brian Dumoulin,PIT,D,all,41,55007,14,4
Joakim Nordstrom,CGY,C,all,44,30508,7,1
Matt Dumba,MIN,D,all,51,68130,20,5
Luke Schenn,T.B,D,all,38,24452,4,2
Connor Brown,OTT,R,all,56,61293,35,21
Johnny Gaudreau,CGY,L,all,56,61870,48,19
Kyle Connor,WPG,L,all,56,63012,49,26
Alexander Romanov,MTL,D,all,54,55938,6,1
Dustin Brown,L.A,R,all,49,51822,31,16
Jordan Eberle,NYI,R,all,55,55288,33,16
Elias Lindholm,CGY,C,all,56,66853,47,19
Evgeny Kuznetsov,WSH,C,all,41,40767,29,9
Glenn Gawdin,CGY,C,all,7,2908,1,0
Josh Brown,OTT,D,all,26,22059,1,0
Ryan Johansen,NSH,C,all,48,48775,21,7
Jason Spezza,TOR,C,all,54,35734,30,10
Michael Frolik,MTL,R,all,8,5494,0,0
Thomas Chabot,OTT,D,all,49,77275,31,6
Par Lindholm,BOS,C,all,1,775,0,0
Joel Armia,MTL,R,all,41,36165,14,7
Jonas Siegenthaler,N.J,D,all,15,14055,0,0
Denis Gurianov,DAL,R,all,55,52304,30,12
Wyatt Kalynuk,CHI,D,all,21,20502,9,4
Tom Wilson,WSH,R,all,47,46638,32,13
Ethan Bear,EDM,D,all,43,46341,8,2
Frederick Gaudreau,PIT,C,all,19,14893,10,2
Josh Morrissey,WPG,D,all,56,79186,21,4
Brad Hunt,MIN,D,all,12,8880,1,1
Filip Forsberg,NSH,L,all,39,42836,32,12
Parker Kelly,OTT,C,all,1,452,1,1
Radim Simek,S.J,D,all,40,34110,6,2
Nate Schmidt,VAN,D,all,54,65133,15,5
Micheal Haley,OTT,L,all,4,1450,0,0
Filip Chlapik,OTT,C,all,1,431,0,0
William Nylander,TOR,R,all,51,50798,42,17
P.K. Subban,N.J,D,all,44,59073,19,5
Olle Alsing,OTT,D,all,4,2599,0,0
Anders Lee,NYI,L,all,27,28388,19,12
Jesperi Kotkaniemi,MTL,C,all,56,49683,20,5
Jan Rutta,T.B,D,all,35,33777,8,0
Anthony Bitetto,NYR,D,all,14,12130,4,1
Klim Kostin,STL,C,all,2,1656,1,0
Keaton Middleton,COL,D,all,3,1675,0,0
Barrett Hayton,ARI,C,all,14,9651,3,2
Nick Suzuki,MTL,C,all,56,61090,41,15
Jordie Benn,WPG,D,all,39,34527,10,1
Adam Fox,NYR,D,all,55,81434,47,5
Brock Nelson,NYI,C,all,56,59930,33,18
Michael Sgarbossa,WSH,C,all,5,2939,2,0
Cole Caufield,MTL,R,all,10,8376,5,4
Andrew Agozzino,ANA,L,all,3,2192,1,0
Radko Gudas,FLA,D,all,54,56951,11,2
Timo Meier,S.J,R,all,54,52029,31,12
Brandon Carlo,BOS,D,all,27,30308,4,3
Jared McCann,PIT,L,all,43,36414,32,14
Cam York,PHI,D,all,3,3561,0,0
Sam Lafferty,PIT,R,all,34,19943,6,0
Josh Norris,OTT,C,all,56,55334,35,17
Jakub Zboril,BOS,D,all,42,43007,9,0
Dillon Dube,CGY,C,all,51,41737,22,11
Kevin Labanc,S.J,R,all,55,54196,28,12
Jordan Staal,CAR,C,all,53,58736,38,16
Jason Zucker,PIT,L,all,38,35768,18,9
Drew Shore,CAR,C,all,4,2038,0,0
Frederic Allard,NSH,D,all,1,1019,0,0
Drake Rymsha,L.A,C,all,1,796,0,0
Damon Severson,N.J,D,all,56,75484,21,3
Jake Virtanen,VAN,R,all,38,27936,5,5
Niklas Hjalmarsson,ARI,D,all,41,42707,5,0
Richard Panik,DET,R,all,48,35613,13,4
John Carlson,WSH,D,all,52,74197,44,10
Darren Helm,DET,L,all,47,41421,8,3
Ryan Pulock,NYI,D,all,56,75393,17,2
Miles Wood,N.J,L,all,55,49392,25,17
Zach Hyman,TOR,L,all,43,49945,32,15
Ross Johnston,NYI,L,all,12,6291,1,0
Mark Scheifele,WPG,C,all,56,70419,63,21
Joachim Blichfeld,S.J,R,all,5,2607,1,1
Yegor Sharangovich,N.J,C,all,50,50407,28,15
Jani Hakanpaa,CAR,D,all,57,61631,4,2
Marcus Sorensen,S.J,L,all,29,21043,5,1
Antti Suomela,S.J,C,all,4,2669,0,0
Matthew Tkachuk,CGY,L,all,56,60993,43,16
Andreas Johnsson,N.J,L,all,50,41802,11,5
Vince Dunn,STL,D,all,43,49666,20,6
Niko Mikkola,STL,D,all,30,26132,3,1
Carter Rowney,ANA,C,all,19,16271,6,0
Haydn Fleury,ANA,D,all,47,43421,4,3
Ryan Lindgren,NYR,D,all,51,61207,16,1
Ben Hutton,TOR,D,all,38,42075,5,1
Brady Keeper,FLA,D,all,1,568,0,0
Jalen Chatfield,VAN,D,all,18,14512,1,0
Nick Ritchie,BOS,L,all,56,51640,26,15
Xavier Ouellet,MTL,D,all,6,5202,0,0
Eric Staal,MTL,C,all,53,46806,13,5
Jack Johnson,NYR,D,all,13,13234,1,1
Philippe Maillet,WSH,C,all,2,1098,0,0
Nic Dowd,WSH,C,all,56,48405,15,11
Leo Komarov,NYI,R,all,33,25408,8,1
Jaccob Slavin,CAR,D,all,52,71705,15,3
Joakim Ryan,CAR,D,all,4,2604,0,0
Alex Belzile,MTL,R,all,2,1277,1,0
Jordan Greenway,MIN,L,all,56,53115,32,6
Jamie Drysdale,ANA,D,all,24,28184,8,3
Brogan Rafferty,VAN,D,all,1,838,1,0
Rasmus Ristolainen,BUF,D,all,49,65443,18,4
Conor Sheary,WSH,L,all,53,43570,22,14
Ian Cole,MIN,D,all,54,51470,8,1
Libor Hajek,NYR,D,all,44,40316,4,2
Ross Colton,T.B,C,all,30,19016,12,9
Devon Toews,COL,D,all,53,78739,31,9
Michael Dal Colle,NYI,L,all,26,18572,4,1
Nikita Zaitsev,OTT,D,all,55,75042,17,4
Dakota Joshua,STL,C,all,12,6457,1,1
Cam Fowler,ANA,D,all,56,73124,23,5
Kasperi Kapanen,PIT,R,all,40,37276,30,11
Kevin Connauton,FLA,D,all,7,5970,1,0
Ivan Provorov,PHI,D,all,56,84016,26,7
David Backes,ANA,R,all,15,11461,4,3
Eetu Luostarinen,FLA,C,all,44,34646,8,3
Radek Faksa,DAL,C,all,55,57516,14,6
Nick Bonino,MIN,C,all,55,49094,27,10
Blake Wheeler,WPG,R,all,50,55021,46,15
Jack Ahcan,BOS,D,all,3,3715,0,0
Sam Steel,ANA,C,all,42,36586,12,6
Miro Heiskanen,DAL,D,all,55,82396,27,8
Alex Biega,DET,D,all,13,8316,3,0
David Krejci,BOS,C,all,51,52435,44,8
Erik Karlsson,S.J,D,all,52,73638,22,8
Jacob de la Rose,STL,L,all,13,7955,1,0
Yanni Gourde,T.B,C,all,56,57292,36,17
Mason Marchment,FLA,L,all,33,27989,10,2
Travis Boyd,VAN,C,all,39,25103,10,5
Bowen Byram,COL,D,all,19,19959,2,0
Kiefer Sherwood,COL,L,all,16,8445,3,0
Juho Lammikko,FLA,C,all,44,28590,5,4
Pavel Buchnevich,NYR,R,all,54,60694,48,20
Jeffrey Viel,S.J,L,all,11,4797,0,0
Rasmus Dahlin,BUF,D,all,56,72668,23,5
Gerald Mayhew,MIN,C,all,4,2818,1,0
Jordan Kyrou,STL,C,all,55,47599,35,14
Connor McMichael,WSH,C,all,1,594,0,0
Victor Soderstrom,ARI,D,all,4,3914,2,1
Mats Zuccarello,MIN,R,all,42,42039,35,11
Mario Ferraro,S.J,D,all,56,75251,17,1
Dylan Gambrell,S.J,C,all,49,47118,12,5
Patrick Russell,EDM,R,all,8,5107,2,0
Zac Jones,NYR,D,all,10,8990,4,0
Tyler Bozak,STL,C,all,31,27738,17,5
Brandon Sutter,VAN,C,all,43,38952,12,9
Mark Stone,VGK,R,all,55,62901,61,21
Ryan MacInnis,CBJ,C,all,16,9575,0,0
Vinni Lettieri,ANA,C,all,5,3816,0,0
Artem Zub,OTT,D,all,47,51838,14,3
Alex Killorn,T.B,L,all,56,60169,33,15
Yannick Weber,PIT,D,all,2,1358,0,0
Jonathan Marchessault,VGK,C,all,55,57498,44,18
Braydon Coburn,NYI,D,all,19,18291,2,0
Brett Howden,NYR,C,all,42,31644,7,1
Ty Smith,N.J,D,all,48,57904,23,2
Aleksi Heponiemi,FLA,C,all,9,6608,2,1
Tyler Myers,VAN,D,all,55,72887,20,6
Kale Clague,L.A,D,all,18,18580,6,0
Jesper Fast,CAR,R,all,46,42219,18,6
Nick Caamano,DAL,R,all,24,13452,1,0
Michael McLeod,N.J,C,all,48,40140,15,9
J.T. Miller,VAN,C,all,53,66669,46,15
Vinnie Hinostroza,CHI,L,all,26,19117,12,4
Mark Alt,L.A,D,all,2,1630,0,0
Evander Kane,S.J,L,all,56,67822,49,22
Tyler Pitlick,ARI,C,all,38,37237,11,6
Sean Kuraly,BOS,C,all,47,39727,9,4
Patrik Nemeth,COL,D,all,52,56205,10,3
Nate Thompson,WPG,C,all,44,25578,5,2
William Lockwood,VAN,R,all,2,1703,0,0
Steven Kampfer,BOS,D,all,20,20058,5,2
Alex Barre-Boulet,T.B,C,all,15,13727,3,3
Alexander Radulov,DAL,R,all,11,11742,12,4
Brett Murray,BUF,L,all,2,1275,0,0
John Hayden,ARI,C,all,29,17079,5,2
Jayce Hawryluk,VAN,C,all,30,17353,5,2
Mason Appleton,WPG,C,all,56,48488,25,12
Loui Eriksson,VAN,L,all,7,4023,1,0
Robert Hagg,PHI,D,all,34,31934,5,2
Carl Grundstrom,L.A,R,all,47,35089,11,6
Shea Theodore,VGK,D,all,53,71697,42,8
Alexis Lafreniere,NYR,L,all,56,46764,21,12
Calvin de Haan,CHI,D,all,44,48961,10,1
Kevan Miller,BOS,D,all,28,32030,4,1
