name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Lawson Crouse,ARI,L,all,81,63012,25,11
Ilya Lyubushkin,ARI,D,all,41,33673,4,0
Bogdan Kiselevich,FLA,D,all,32,28512,8,0
Trent Frederic,BOS,C,all,15,8411,0,0
Auston Matthews,TOR,C,all,68,75671,73,37
Rasmus Dahlin,BUF,D,all,82,103886,42,9
Troy Brouwer,FLA,R,all,75,57069,21,12
Frans Nielsen,DET,C,all,72,71974,34,10
Matt Niskanen,WSH,D,all,80,105219,25,8
Andrej Sustr,ANA,D,all,5,3612,0,0
Andrew Shaw,MTL,R,all,63,60132,47,19
Jordan Weal,MTL,C,all,63,50808,21,8
Brady Skjei,NYR,D,all,78,99295,25,8
Patrick Eaves,ANA,R,all,7,5829,0,0
Mikhail Sergachev,T.B,D,all,75,80642,32,6
Michael Stone,CGY,D,all,14,13386,5,0
Brenden Dillon,S.J,D,all,82,87231,22,1
Micheal Haley,S.J,C,all,43,20875,6,2
Brendan Guhle,ANA,D,all,8,7161,1,0
Brett Ritchie,DAL,R,all,53,30549,6,4
Anton Blidh,BOS,L,all,1,826,0,0
Matt Beleskey,NYR,L,all,4,1769,1,1
Leo Komarov,NYI,R,all,82,68221,26,5
Kevin Fiala,MIN,L,all,83,77812,38,13
Anton Lindholm,COL,D,all,2,861,0,0
Dmitrij Jaskin,WSH,R,all,37,22390,8,2
Robert Hagg,PHI,D,all,82,83252,19,5
Nick Cousins,ARI,C,all,81,65943,27,7
Johan Larsson,BUF,C,all,73,62538,15,6
Artturi Lehkonen,MTL,L,all,82,76488,33,12
Sidney Crosby,PIT,C,all,79,99481,101,35
Andrew Mangiapane,CGY,L,all,44,27747,13,8
Valeri Nichushkin,DAL,R,all,57,40700,10,0
Thomas Hickey,NYI,D,all,40,44380,2,0
Victor Hedman,T.B,D,all,70,95619,54,12
Anthony Peluso,CGY,R,all,4,987,0,0
Justin Williams,CAR,R,all,82,85752,53,23
Chad Ruhwedel,PIT,D,all,18,17580,2,1
Jordie Benn,MTL,D,all,81,88382,22,5
Radko Gudas,PHI,D,all,77,82376,20,4
Joakim Ryan,S.J,D,all,44,33731,7,0
Mattias Janmark,DAL,C,all,81,73841,25,7
Karl Alzner,MTL,D,all,9,9342,1,0
Andrei Svechnikov,CAR,R,all,82,72141,37,20
Joel Edmundson,STL,D,all,64,73864,11,2
John Tavares,TOR,C,all,82,93782,87,47
Jake Gardiner,TOR,D,all,62,78831,31,3
Pierre-Edouard Bellemare,VGK,C,all,76,56686,15,6
Michael Amadio,L.A,C,all,43,26289,13,6
Victor Olofsson,BUF,L,all,6,6486,4,2
Patrik Berglund,BUF,C,all,23,17906,4,2
Cam Fowler,ANA,D,all,59,82687,23,5
Chris Wagner,BOS,R,all,76,61357,19,12
Oscar Klefbom,EDM,D,all,61,87718,28,5
Alexander Steen,STL,L,all,65,61682,27,11
Robert Thomas,STL,C,all,70,54716,33,9
Colin Blackwell,NSH,C,all,6,3506,0,0
Sam Reinhart,BUF,C,all,82,93133,65,22
Brady Keeper,FLA,D,all,1,746,0,0
Frank Vatrano,FLA,C,all,81,71113,39,24
Nick Ritchie,ANA,L,all,60,53982,31,9
Adam Johnson,PIT,C,all,6,1910,2,0
Ryan Dzingel,CBJ,C,all,78,78695,57,26
Dominik Simon,PIT,C,all,71,56730,28,8
John Hayden,CHI,R,all,54,29682,5,3
Kalle Kossila,ANA,C,all,8,4946,1,1
Tyler Pitlick,DAL,C,all,47,37707,12,8
Braydon Coburn,T.B,D,all,74,71505,22,4
Sam Bennett,CGY,C,all,71,56450,27,13
Tyler Myers,WPG,D,all,80,97622,29,9
Joseph Gambardella,EDM,C,all,15,7293,3,0
Ben Harpur,OTT,D,all,51,53905,5,1
Juho Lammikko,FLA,R,all,40,26148,6,0
Mark Friedman,PHI,D,all,1,753,0,0
Colin Miller,VGK,D,all,65,76462,29,3
Mitchell Marner,TOR,R,all,82,97440,95,26
Miro Heiskanen,DAL,D,all,82,113568,33,12
Joseph Blandisi,PIT,C,all,9,4020,0,0
Brayden Schenn,STL,C,all,72,79810,54,17
John Gilmour,NYR,D,all,5,4823,0,0
Brendan Perlini,CHI,L,all,68,47319,21,14
Oskar Sundqvist,STL,C,all,74,60996,31,14
Ryan Poehling,MTL,C,all,1,647,3,3
Gemel Smith,BOS,C,all,17,8535,3,2
Erik Condra,DAL,R,all,6,4566,1,1
Justin Braun,S.J,D,all,78,94995,16,2
Bryan Rust,PIT,R,all,72,68735,35,18
Leon Draisaitl,EDM,C,all,82,111102,105,50
Dylan Sikura,CHI,R,all,33,22339,8,0
Nate Thompson,MTL,C,all,78,60632,13,5
Gustav Nyquist,S.J,C,all,81,85139,60,22
Erik Karlsson,S.J,D,all,53,77871,45,3
Dean Kukan,CBJ,D,all,25,20101,5,0
David Schlemko,MTL,D,all,18,21432,2,0
Milan Lucic,EDM,L,all,79,62637,19,6
Jesper Bratt,N.J,L,all,51,46413,34,9
Alexander Radulov,DAL,R,all,70,83051,73,29
Vinnie Hinostroza,ARI,C,all,72,65778,40,16
Mario Kempe,ARI,R,all,52,34874,9,4
Evgeni Malkin,PIT,C,all,68,76668,72,21
Fredrik Claesson,NYR,D,all,37,38292,6,2
Boone Jenner,CBJ,C,all,77,78749,38,16
Reid Boucher,VAN,C,all,1,328,0,0
Jason Dickinson,DAL,C,all,67,53696,22,6
Brett Connolly,WSH,R,all,81,64795,46,22
Michael Bunting,ARI,L,all,5,2867,1,1
Patrick Marleau,TOR,C,all,82,80420,35,16
Egor Yakovlev,N.J,D,all,25,23505,7,2
Alexander Kerfoot,COL,C,all,78,69641,41,14
Nico Sturm,MIN,C,all,2,1534,0,0
Adam Lowry,WPG,C,all,78,68540,22,12
Ryan Murray,CBJ,D,all,56,72042,29,1
Ryan Lindgren,NYR,D,all,5,4376,0,0
Oscar Fantenberg,CGY,D,all,61,58428,4,2
Devante Smith-Pelly,WSH,R,all,54,35151,8,4
Ty Rattie,EDM,R,all,50,34103,11,4
Roope Hintz,DAL,L,all,58,48897,22,8
Marc-Edouard Vlasic,S.J,D,all,72,90903,24,3
