playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8470144,2011,Frans Nielsen,NYI,C,all,82,85867,1837,43.42,0.5,0.48,0.51,0.47,0.51,0.48,350,129.17,12.67,8.7,27.9,4.27,69.9,57.55,12.44,12.77,12.54,13,17,133,48,51,232,47,17,5,5,38,3,48,70,116,164,3,6,523,29,58,33,135,39,7,4.29,4.86,3.53,3,8,6,232.34,181,181.41,13,1.94,1.15,2.86,11.74,11.79,11.62,1837,300,309,336,892,219,197,263,1158,523,633,214111,6,20,9,66,678.74,69.26,67.09,69.39,67.21,707,251,357,1315,74,42,14,721,165,72,20.31,20.12,28.83,20,20,34,1310.22,958,956,10.81,11.47,11.4,68.68,68.68,67.35,663.5,69.22,66.37,69.72,66.83,652,272,361,1285,68,48,9,661,187,76,18.7,22.95,27.57,22,23,23,1293.89,924,929.81,10.64,12.76,13.32,66.54,66.91,65.41,157.72,169.69,3090,3536,0,0,0,0,0,0
8467439,2011,Jaroslav Spacek,CAR,D,all,46,44391,1002,19.55,0.53,0.48,0.53,0.47,0.53,0.48,248,41.97,2.75,2.73,11.69,1.43,24.91,17.5,2.66,2.78,2.69,7,3,42,19,40,101,15,5,4,0,8,2,22,20,37,56,4,8,0,29,14,18,54,5,2,1.27,0.51,0.97,2,1,2,101.77,61,61.57,14,0.61,0.55,0.21,3.15,3.18,3.1,1002,168,104,158,572,127,140,127,608,0,0,124349,8,10,5,68,429.29,36.34,34.82,36.62,35.09,420,175,202,797,36,36,5,444,122,29,12.72,14.7,8.92,15,14,7,803.24,595,599.54,6.64,5.53,5.59,37.39,37.7,36.65,374.42,32.45,30.67,32.36,30.57,365,156,174,695,23,32,5,391,100,30,10.76,12.44,9.24,10,5,8,692.8,521,519.52,5.18,7.42,7.42,30.21,30.15,29.29,90.96,99.2,1871,2071,0,0,0,0,0,0
8470724,2011,Kyle Quincey,DET,D,all,72,94434,2040,37.69,0.52,0.51,0.53,0.51,0.52,0.51,180,151.02,8.74,8.84,37.35,5.04,90.92,70.11,8.54,8.71,8.5,6,13,168,53,115,336,26,7,14,2,37,2,67,94,161,214,39,89,0,101,24,35,208,6,7,4.37,0.8,3.58,3,1,3,332.15,221,218.16,29,1.95,2,1.42,9.27,9.22,8.99,2040,287,253,330,1170,246,319,313,1162,0,1,169361,89,22,11,94,797.28,74.59,70.58,74.31,70.33,835,271,408,1514,74,80,20,854,172,80,23.3,20.68,30.6,21,19,34,1494.46,1106,1092.81,11.82,19.52,20.01,66.39,66.15,65.06,727.03,67.9,66.18,68.51,66.78,732,287,303,1322,76,56,12,778,171,70,22.02,20.67,25.21,16,29,31,1343.57,1019,1033.51,11.17,12.73,12.73,66.34,66.98,65.96,118.54,112.66,2621,2470,0,0,0,0,0,0
8475154,2011,Carter Ashton,TOR,R,all,15,9375,215,-0.9,0.39,0.44,0.46,0.45,0.42,0.43,142,18.73,1.67,1.34,4.11,0.55,10.01,7.33,1.65,1.63,1.62,0,0,22,3,7,32,0,0,0,0,7,0,5,13,22,25,5,13,1,32,4,4,18,6,1,0.73,0.68,0.25,0,0,0,31.31,25,24.56,0,0.28,0,0,1.95,1.91,1.89,215,33,13,32,137,29,40,32,114,1,1,45975,13,11,4,2,57.52,4.51,4.17,4.44,4.1,51,30,36,117,0,1,0,63,16,2,2.15,1.85,0.51,0,0,0,114.62,81,79.99,0.79,0.08,0.08,5.22,5.13,4.77,78.76,7.11,6.96,7.23,7.09,77,33,27,137,10,5,1,79,28,3,2.63,3.55,0.93,2,6,2,140.02,110,111.71,1.13,1.06,1.11,7.12,7.29,7.18,32.69,40.85,594,737,0,0,0,0,0,0
8470324,2011,Josh Gorges,MTL,D,all,82,111324,2415,22.47,0.4,0.52,0.42,0.52,0.44,0.52,164,58.98,3.27,3.42,15.71,1.96,33.98,30.67,3.2,3.26,3.19,7,7,59,30,56,145,16,2,4,0,12,4,27,40,57,87,19,39,0,131,20,43,79,7,3,1.35,0.78,1.15,1,1,0,144.32,89,89.19,36,0.73,0.98,0.94,3.06,3.05,3.02,2415,209,440,462,1304,294,258,366,1497,0,0,189752,39,19,8,250,734.91,59.46,57.57,59.77,57.89,746,271,365,1382,70,53,15,789,170,58,20.8,20.56,18.1,28,23,19,1387.06,1017,1019.59,9.72,10.9,11.51,57.67,57.94,57.07,938.44,88.67,84.75,88.47,84.56,929,379,608,1916,78,53,9,997,214,97,26.48,26.03,36.15,24,22,32,1908.62,1308,1304.2,15.07,13.28,13.31,90.42,90.21,87.76,143.85,130.2,3092,2820,0,0,0,0,0,0
8457063,2011,Nicklas Lidstrom,DET,D,all,70,99837,1956,54.35,0.59,0.5,0.59,0.51,0.6,0.51,138,143.81,8.3,9.94,32.74,4.75,93.71,67.56,8.02,8.32,8.04,10,13,148,69,94,311,34,11,8,4,29,5,87,77,137,206,15,28,0,41,27,23,198,13,6,4.4,1.32,2.58,5,3,3,311.66,217,217.19,16,2.24,0.97,0.92,9.61,9.63,9.33,1956,358,231,355,1012,264,273,341,1078,0,0,156556,28,6,3,79,1018.87,94,91.2,94.26,91.45,1036,395,409,1840,99,60,18,1059,292,80,29.5,34.73,29.77,28,38,33,1850.06,1431,1435.74,16.61,12.37,13.39,97.22,97.42,95.59,694.76,65.16,62.88,65.15,62.87,711,252,295,1258,60,38,12,724,185,54,20.92,22.12,22.12,15,21,24,1255.91,963,962.06,10.22,9.33,10.23,65.15,65.17,64.1,105.54,106.43,2261,2181,0,0,0,0,0,0
8471208,2011,Dustin Penner,L.A,R,all,65,55851,1253,28.69,0.57,0.52,0.59,0.53,0.58,0.52,458,126.16,11.78,8.16,29.42,3.94,68.95,51.75,11.61,11.77,11.6,7,3,119,55,42,216,17,7,7,1,27,2,56,75,112,167,14,33,14,90,27,38,125,41,8,3.59,5.11,3.08,1,5,1,217.3,174,175.28,9,1.74,1.34,0.83,12.69,12.71,12.55,1253,226,152,207,668,188,172,173,720,14,18,182935,33,23,10,16,512.86,39.6,38.27,39.76,38.41,490,230,258,978,25,33,6,565,127,28,15.1,15.22,9.28,9,10,6,985.85,720,723.88,7.52,6.31,6.87,40.24,40.43,39.52,380.32,29.94,29.07,30.06,29.18,368,158,160,686,27,25,9,422,75,29,12.84,9.11,8,10,8,9,682.74,526,524.24,5.07,5.12,5.33,29.69,29.69,29.21,136.56,127.26,2936,2649,0,0,0,0,0,0
8470626,2011,Loui Eriksson,DAL,L,all,82,97228,1951,69.05,0.53,0.44,0.52,0.47,0.52,0.47,196,177.51,20.58,13.37,34.27,5.58,91.8,76.39,20.17,20.47,20.06,27,18,187,55,59,301,71,26,12,5,30,2,78,94,161,216,6,12,7,20,50,43,160,62,20,5.75,7.54,7.29,7,12,7,301.33,242,242.25,9,2.99,2.88,4.12,19.46,19.39,19.14,1951,316,268,357,1010,287,305,355,1004,7,9,202111,12,38,19,40,828.16,76.19,72.88,76.09,72.79,848,315,396,1559,96,50,15,907,184,72,25.43,22.5,28.26,28,35,33,1554.46,1163,1161.17,12.83,13.04,12.94,76.09,76,73.93,766.6,67.89,65.22,68.15,65.47,800,273,379,1452,70,56,11,833,171,69,21.75,21.09,25.07,22,27,21,1464.69,1073,1080.21,11.17,12.6,13.09,65.96,66.33,65.3,111.54,140.31,2916,3333,0,0,0,0,0,0
8476244,2011,Raphael Diaz,MTL,D,all,59,63736,1476,13.92,0.47,0.47,0.49,0.5,0.49,0.5,254,63.51,2.07,3.76,16.07,1.99,39.08,32.02,2.02,2.05,2,3,10,61,34,72,167,16,3,5,0,14,2,28,43,58,92,15,30,1,40,13,38,92,3,0,1.78,0.29,0,3,0,0,165.62,95,93.61,36,0.8,1.19,0.03,2.84,2.82,2.75,1476,133,164,229,950,211,221,197,847,1,1,151832,30,8,4,102,497.17,42.33,41.18,42.31,41.16,496,201,278,975,36,34,8,535,122,40,14.27,14.95,13.11,12,9,15,973.66,697,694.41,7.27,7.19,7.12,42.48,42.49,41.88,523.39,47.75,45,47.86,45.08,528,200,286,1014,39,43,8,538,146,44,14.56,17.85,15.34,10,19,10,1014.94,728,729.4,7.53,9.53,9.56,45.72,45.67,44.22,97.94,108.59,2291,2306,0,0,0,0,0,0
8469508,2011,Jay McClement,COL,C,all,80,66013,1568,16.45,0.38,0.53,0.39,0.54,0.39,0.53,630,94.86,9.17,6.26,20.03,3.01,47.96,42.57,8.86,9.21,8.91,4,3,95,34,40,169,17,10,12,4,15,2,40,50,85,119,13,31,448,72,34,16,90,30,9,3.11,3.49,2.56,3,2,5,169.02,129,128.65,11,1.32,2.47,1.99,8.5,8.53,8.34,1568,114,408,193,853,189,166,248,965,448,425,227019,31,27,12,54,398.31,34.53,33.55,34.6,33.63,400,152,187,739,30,34,8,423,92,37,11.2,11.07,12.25,9,8,13,735.86,552,550.95,5.26,7.48,7.57,32.22,32.29,31.88,618,56.18,53.66,56.31,53.78,599,260,290,1149,58,52,17,663,136,60,18.97,16.78,20.43,12,20,26,1153.89,859,861.89,10.6,12.6,12.7,54.08,54.19,52.52,174.18,154.41,3800,3281,0,0,0,0,0,0
