playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475793,2012,Ryan Johansen,CBJ,C,all,40,38602,843,9.35,0.53,0.46,0.51,0.46,0.5,0.45,251,77.06,6.84,5.9,15.07,2.31,42.23,30.64,6.66,6.9,6.72,5,2,84,19,15,118,12,5,4,1,12,3,35,44,79,98,6,12,272,42,15,6,73,24,6,2.47,2.73,1.65,0,2,3,118.17,103,102.78,0,1.29,0.74,1.04,7.09,7.17,7.07,843,154,98,124,467,131,100,119,493,272,257,109523,12,16,8,14,313.93,24.43,23.69,24.63,23.88,320,112,157,589,24,19,6,336,73,23,9.35,8.48,6.6,6,8,10,591.11,432,433.09,5.14,3.9,3.9,25.68,25.85,25.44,306.52,21.62,20.73,21.73,20.82,323,104,131,558,25,22,7,350,62,15,9.44,7.78,4.4,10,9,6,557.96,427,428.47,4.12,5.03,5.05,20.7,20.75,20.29,60.38,70.45,1417,1643,0,0,0,0,0,0
8469457,2012,Stephen Weiss,FLA,C,all,17,18830,414,-0.66,0.36,0.48,0.45,0.48,0.43,0.5,48,18.93,2.06,1.28,3.82,0.6,10.69,7.56,2.03,2.03,2,2,1,19,7,14,40,4,1,1,0,4,0,8,12,18,25,6,15,141,6,13,2,19,4,3,0.49,0.46,1.1,0,0,1,39.53,26,25.66,1,0.3,0.33,0.22,2.13,2.12,2.11,414,76,48,79,211,48,41,67,258,141,135,43495,15,9,3,10,119.41,8.55,8.36,8.48,8.29,124,44,63,231,7,2,0,143,19,6,4.15,2.23,2.16,3,2,2,227.73,168,165.67,1.72,0.55,0.59,9.69,9.67,9.56,161.08,14.91,14.25,15.13,14.46,166,61,54,281,22,19,3,165,47,15,4.86,5.58,4.47,9,9,4,287.55,227,231.7,2.53,3.25,3.25,14.19,14.36,13.93,31.39,34.08,624,672,0,0,0,0,0,0
8470265,2012,Anton Babchuk,CGY,D,all,7,4977,110,-0.17,0.39,0.45,0.41,0.44,0.41,0.44,40,5.58,0.13,0.28,1.32,0.19,3.28,2.79,0.13,0.13,0.13,0,1,5,3,5,13,1,0,0,0,1,0,2,5,5,8,0,0,0,1,0,5,8,0,0,0.13,0,0,0,0,0,11.88,8,7.38,5,0.06,0,0,0.19,0.18,0.18,110,18,16,17,59,11,23,11,65,0,0,20223,0,0,0,9,32.11,2.34,2.22,2.3,2.18,33,11,17,61,4,1,0,35,7,2,1.02,0.85,0.47,2,1,1,58.25,44,42.74,0.43,0.27,0.46,2.31,2.26,2.16,47.06,3.67,3.53,3.73,3.59,48,16,22,86,4,7,4,51,10,3,1.44,1.41,0.81,0,3,1,89.31,64,65.86,0.63,1.39,1.39,2.91,2.95,2.91,12.49,15.51,265,341,0,0,0,0,0,0
8470144,2012,Frans Nielsen,NYI,C,all,48,51889,1168,23.41,0.48,0.56,0.48,0.52,0.48,0.52,172,89.72,7.89,6.08,20.72,3,49.5,37.81,7.76,7.95,7.81,10,13,93,32,34,159,29,6,5,0,16,5,39,54,87,119,6,12,268,23,29,24,90,29,6,2.81,3.42,1.66,1,4,1,160.08,125,126.38,11,1.34,1.83,1.01,8.23,8.3,8.23,1168,174,205,205,584,130,115,167,756,268,290,123747,12,10,5,47,388.07,37.94,37.09,38.12,37.27,396,152,208,756,34,16,2,405,112,31,12.14,14.06,11.74,11,14,9,758.21,548,550.71,6.1,4.25,4.51,39.53,39.69,39.21,419.85,41.36,39.76,41.35,39.75,421,165,247,833,41,36,9,425,117,44,11.88,14.34,15.14,12,14,15,831.28,586,586.34,6.88,7.62,7.64,40.6,40.62,39.7,104.35,81.48,2007,1858,0,0,0,0,0,0
8470724,2012,Kyle Quincey,DET,D,all,36,41520,910,12.45,0.53,0.5,0.53,0.55,0.53,0.54,130,41.57,1.62,2.49,11.13,1.47,25.67,18.61,1.57,1.6,1.54,2,0,36,25,41,102,3,1,1,0,16,1,24,18,35,60,9,18,0,29,6,18,57,4,0,1.18,0.44,0,1,0,0,101.84,61,60.59,15,0.53,0.81,0.05,2.1,2.07,2.01,910,122,114,117,557,162,120,123,505,0,0,90944,18,12,5,46,346.7,29.54,28.75,29.59,28.8,353,125,156,634,29,16,3,371,85,22,10.44,10.3,8.8,7,13,9,635.84,478,478.65,4.89,3.44,5.23,29.19,29.13,28.59,300.79,26.2,25.68,26.36,25.84,306,116,148,570,28,19,2,322,76,24,8.39,9.6,8.21,7,14,7,572.15,422,422.51,4.77,4.4,4.34,26.63,26.8,26.51,59.61,58.58,1449,1187,0,0,0,0,0,0
8470318,2012,Jonathan Ericsson,DET,D,all,45,57576,1283,17.55,0.45,0.56,0.47,0.57,0.47,0.57,134,36.86,1.5,2.24,9.97,1.17,22.93,17.19,1.47,1.53,1.5,5,5,34,21,35,90,13,3,1,0,9,0,16,26,31,52,14,29,0,67,8,30,52,3,0,1.12,0.38,0,3,0,0,91.56,55,55.78,27,0.45,0.13,0,1.94,1.98,1.95,1283,160,217,230,676,185,130,194,774,0,0,106988,29,21,9,40,416.09,34.21,33.27,34.58,33.63,413,171,191,775,34,21,6,448,115,21,13.21,13.78,7.22,13,13,8,784.84,584,590.99,5.79,5.35,5.48,34.51,34.81,34.31,466.16,41.36,39.88,41.35,39.86,471,177,213,861,44,30,10,491,121,36,13.79,14.35,13.22,13,16,15,858.7,648,646.86,7.47,6.73,7.13,41.69,41.66,40.73,82.13,65.55,1780,1323,0,0,0,0,0,0
8473908,2012,Kevin Westgarth,CAR,R,all,31,10642,269,3.32,0.46,0.48,0.5,0.5,0.48,0.49,357,18.77,2,1.2,4.22,0.56,9.75,7.26,1.86,1.99,1.84,1,1,16,9,6,31,4,2,2,1,4,1,6,10,14,23,12,45,0,28,4,7,16,6,3,0.45,0.63,0.92,1,0,1,29.92,25,24.47,3,0.25,0.16,0.84,1.42,1.39,1.36,269,38,18,61,152,37,38,31,163,0,3,101762,45,35,7,1,78.26,6.1,5.86,6.02,5.78,72,35,38,145,5,8,1,80,23,4,2.22,2.68,1.21,4,0,1,142.04,107,105.17,0.97,1.41,1.41,5.66,5.58,5.52,83.18,7.17,7.01,7.33,7.16,78,38,31,147,4,6,0,88,18,10,2.63,2.04,2.5,0,3,1,147.9,116,117.01,1.13,1.43,1.43,6.87,6.96,6.84,90.11,98.75,1793,1763,0,0,0,0,0,0
8469534,2012,Aaron Johnson,BOS,D,all,10,8922,203,2.75,0.56,0.55,0.59,0.55,0.59,0.55,56,7.17,0.2,0.43,1.79,0.22,4.83,3.51,0.2,0.2,0.2,0,0,8,3,12,23,0,0,0,0,2,1,4,4,8,11,5,10,0,18,0,7,11,0,0,0.2,0,0,0,0,0,22.29,11,10.63,6,0.09,0,0,0.29,0.29,0.28,203,17,12,30,144,34,28,26,115,0,0,28305,10,2,1,5,82.85,6.28,6.22,6.23,6.16,81,34,47,162,4,4,0,89,22,4,2.56,2.73,0.99,2,1,1,159.99,115,113.87,1.06,0.59,0.68,6.66,6.6,6.55,59.11,4.91,4.86,4.95,4.9,57,24,30,111,5,3,1,61,16,4,2.02,1.89,1,2,2,1,112.6,81,81.86,0.86,0.58,0.58,5.19,5.26,5.22,24.17,20.03,473,384,0,0,0,0,0,0
8469531,2012,Jay Harrison,CAR,D,all,47,56140,1232,12.85,0.46,0.51,0.47,0.54,0.46,0.52,150,52.36,2.5,3.23,14.77,1.85,32,22.66,2.37,2.47,2.34,4,3,54,23,45,122,10,3,4,2,9,2,22,37,51,74,21,51,0,83,12,24,69,7,1,1.37,0.79,0.34,1,1,1,118.85,77,75.41,19,0.67,0.92,0.8,2.37,2.34,2.27,1232,154,165,196,717,192,176,207,657,0,0,114164,51,23,7,110,474.36,42.71,41.58,42.3,41.2,467,185,237,889,35,46,4,482,134,36,14.22,16.05,12.43,8,18,9,877.58,652,645.84,6.29,9.33,9.15,39.85,39.62,39.06,550.56,50.08,48.71,50.55,49.16,553,205,258,1016,60,38,9,565,144,49,16.91,17.16,16.02,17,22,21,1026.88,758,764.06,8.34,7.37,7.37,50.98,51.3,50.29,103.46,100.57,2031,1754,0,0,0,0,0,0
8470920,2012,David Clarkson,N.J,R,all,48,50667,1084,42.57,0.66,0.48,0.69,0.5,0.68,0.51,216,167.71,18.21,12.41,35.41,5.36,93.32,65.3,17.76,18.2,17.74,5,4,180,50,39,269,24,15,12,2,39,8,63,93,165,215,25,68,6,84,8,16,159,57,14,5.12,6.67,6.42,2,8,5,267.49,230,228.96,3,2.88,2.9,3.42,17.67,17.68,17.47,1084,202,96,195,591,160,117,177,630,6,19,125598,68,72,27,6,531.54,49.97,48.06,49.97,48.06,555,199,249,1003,39,37,6,555,157,42,15.87,18.7,15.41,10,17,12,999.9,754,750.38,9.21,9.12,9.42,49.7,49.74,48.45,261.39,25.34,24.82,25.45,24.92,256,103,100,459,27,13,3,271,66,22,8.59,7.92,8.84,10,6,11,462.21,359,362.53,3.33,2.58,2.84,25.83,25.94,25.78,73.98,80.41,1563,1544,0,0,0,0,0,0
