playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475793,2014,Ryan Johansen,CBJ,C,all,82,95951,2064,58.64,0.53,0.43,0.51,0.45,0.51,0.44,189,198.42,21.8,13.89,43.93,6.28,108.81,76.3,20.93,21.73,20.87,24,21,202,69,83,354,71,26,9,3,37,8,102,89,176,245,19,40,851,84,60,53,194,51,26,6.44,6.33,9.03,10,5,11,351.43,271,269.26,13,3.24,2.74,2.6,22.44,22.39,21.65,2064,348,428,307,981,267,319,385,1093,851,787,203936,40,32,16,33,851.53,92.05,88.85,91.93,88.74,868,314,370,1552,101,61,21,847,246,89,24.63,30.93,36.49,30,26,45,1541.92,1182,1175.26,14.22,16.8,16.82,89.46,89.27,87.19,822.12,80.07,77.06,80.42,77.38,843,305,331,1479,89,44,13,853,230,65,24.79,27.37,27.91,19,35,35,1488.22,1148,1153.96,12.24,9.35,9.71,82.6,82.9,80.58,119.3,155.82,2663,3268,0,0,0,0,0,0
8475792,2014,Brett Connolly,BOS,R,all,55,40095,883,22.51,0.61,0.52,0.6,0.51,0.6,0.51,523,80.2,8.61,6.38,15.94,2.54,46.13,31.39,8.35,8.67,8.41,2,3,83,28,32,143,17,12,4,1,21,5,39,30,71,99,21,48,18,90,9,6,71,34,6,2.62,4.12,1.87,0,9,3,143.72,111,111.54,1,1.41,0.53,0.67,9.36,9.41,9.24,883,158,77,145,503,138,111,136,498,18,25,160299,48,21,9,13,340.13,31.75,30.51,31.98,30.72,328,149,185,662,31,17,7,345,111,21,10.44,13.61,7.71,5,16,10,665.72,477,479.45,5.61,5.22,5.74,31.62,31.78,31.17,228.04,20.27,19.85,20.32,19.9,228,91,116,435,16,12,2,247,54,18,7.62,6.66,5.99,7,4,5,436.27,319,320.53,3.12,2.33,2.33,21.06,21.1,20.88,131.03,121.98,2446,2353,0,0,0,0,0,0
8474709,2014,Matt Martin,NYI,L,all,78,52741,1257,19.95,0.57,0.55,0.52,0.54,0.54,0.55,808,88.57,11.43,6.25,19.98,3.1,44.41,32.82,11.05,11.42,11.03,3,3,90,28,24,142,14,8,7,1,26,3,39,35,82,110,27,84,5,382,24,27,67,36,15,2.33,4.62,4.49,2,3,3,143.04,118,118.68,10,1.33,1.44,1.96,10.81,10.77,10.6,1257,144,135,252,726,226,169,174,688,5,5,233033,84,85,29,36,416.25,37.96,36.04,38.05,36.1,421,157,187,765,27,28,6,437,104,37,13.08,12.78,12.1,7,12,8,770.46,578,581.37,5.69,6.74,6.79,36.85,36.83,36.15,360.4,28.6,27.95,28.56,27.92,353,148,214,715,30,15,5,396,83,22,11.98,9.85,6.76,15,9,6,707.62,501,497.54,4.87,4.5,5.1,28.36,28.37,28.07,209.28,169.5,4112,3567,0,0,0,0,0,0
8467407,2014,Brian Gionta,BUF,R,all,69,74745,1526,19.02,0.45,0.38,0.42,0.36,0.43,0.38,288,148.91,16.02,9.33,32.65,4.67,77.66,61.66,15.63,15.97,15.57,12,10,153,49,51,253,35,13,10,2,42,8,53,76,140,189,9,18,69,61,31,20,147,39,16,4.02,4.72,7.29,3,2,8,249.87,202,200.79,9,2.1,3.07,2.15,15.98,15.84,15.66,1526,227,261,273,765,212,248,243,823,69,100,177554,18,26,13,31,532.03,51.26,48.89,50.94,48.58,542,201,251,994,47,33,8,545,147,51,14.29,17.72,19.25,10,19,18,981.55,743,736.43,8.16,8.77,9.88,49.54,49.23,48.11,703.28,62.17,60.38,62.72,60.91,702,293,360,1355,61,35,9,754,190,51,21.63,22.53,18.01,16,24,21,1375.68,995,1008.55,10.39,8.59,9.28,63.28,63.89,62.6,96.44,155.05,1955,3446,0,0,0,0,0,0
8474145,2014,Robert Bortuzzo,STL,D,all,51,46249,1081,14.11,0.51,0.54,0.51,0.53,0.52,0.53,275,56.76,1.95,2.96,14.84,1.91,32.42,27.91,1.88,2.02,1.94,3,2,56,26,42,124,8,3,1,1,14,1,29,34,53,79,25,73,1,157,3,9,78,4,0,1.54,0.41,0,0,3,0,126.44,82,83.33,9,0.6,0.42,0.11,2.44,2.51,2.46,1081,125,119,148,689,133,128,141,679,1,0,141073,73,53,16,61,357.99,29.32,28.51,29.96,29.13,357,131,180,668,21,24,3,380,78,30,10.98,9.67,8.67,5,11,5,681,488,497.51,4.76,5.09,5.86,28.21,28.7,28.39,332.4,28.26,27.37,28.39,27.47,332,125,192,649,35,21,3,348,86,23,9.77,10.8,7.7,16,11,8,648.13,457,457.36,4.98,5.08,5.08,28.16,28.15,27.55,112.1,96.16,2281,2042,0,0,0,0,0,0
8467096,2014,Dan Boyle,NYR,D,all,65,78953,1699,32.85,0.6,0.49,0.56,0.47,0.57,0.47,223,113.01,7.81,7.61,25.96,3.72,69.87,49.02,7.67,7.87,7.73,3,8,116,48,80,244,20,9,11,0,21,3,67,53,107,155,10,20,0,49,20,33,136,23,5,3.27,2.43,2.11,4,2,3,247.5,164,166.02,18,1.77,2.79,0.06,9.52,9.6,9.42,1699,342,156,270,931,218,257,269,955,0,0,157660,20,12,6,79,745.6,67.58,63.92,68.65,64.94,741,300,319,1360,61,42,10,794,185,62,21.39,22.2,23.98,20,19,22,1385.43,1041,1058.72,11.38,11.88,12.28,66.68,67.6,65.11,570.82,45.75,44.61,45.49,44.35,569,220,267,1056,31,24,5,615,141,33,16.83,17.58,11.34,14,8,9,1040.3,789,779.2,7.62,4.5,4.51,48.85,48.58,47.79,114.94,117.94,2275,2567,0,0,0,0,0,0
8473914,2014,Mark Letestu,CBJ,C,all,54,43216,1072,8.83,0.33,0.53,0.37,0.51,0.36,0.51,437,56.37,5.05,3.67,12.19,1.72,30.15,25.22,5,5.14,5.09,4,2,63,15,23,101,13,7,2,0,16,1,21,31,56,71,0,0,319,51,21,7,54,19,5,1.57,2.15,1.32,3,3,1,101.67,78,79.01,5,0.78,0.58,0.51,5.33,5.43,5.39,1072,132,266,156,518,151,175,140,606,319,284,153668,0,10,5,24,246.18,21.18,20.8,21.2,20.82,267,75,102,444,20,13,3,260,62,20,7.31,7.32,6.56,7,7,6,441.78,342,340.6,3.42,2.6,2.65,21.95,22.04,21.79,428.53,43.75,41.08,43.96,41.27,463,140,166,769,45,34,9,458,94,51,12.52,11.38,19.85,12,18,15,772.65,603,607.22,7.15,8.78,8.78,42.12,42.14,40.46,127.45,111.64,2413,2309,0,0,0,0,0,0
8470724,2014,Kyle Quincey,DET,D,all,73,85316,2075,28.15,0.46,0.55,0.48,0.55,0.46,0.54,250,86.16,3.97,5.28,23.31,2.9,53.7,41.84,3.93,3.97,3.93,11,4,90,41,86,217,18,3,9,0,29,3,43,44,87,128,31,67,0,104,15,24,126,3,2,2.87,0.43,0.66,2,1,0,216.28,131,130.64,20,1.08,1.7,0.12,4.94,4.94,4.87,2075,233,283,334,1225,303,326,285,1161,0,0,182597,67,33,15,82,591.9,48.69,47.63,48.66,47.6,603,225,316,1144,52,31,11,641,150,37,18.41,18.79,11.48,18,18,16,1145.81,828,828.8,7.99,6.18,6.38,50.29,50.29,49.67,691.3,58.08,56.15,58.27,56.33,714,249,284,1247,57,34,10,754,157,52,21.13,19.28,17.67,21,16,20,1245.88,963,963.75,10.23,8.13,8.29,60.02,60.18,58.64,151,123.34,2815,2335,0,0,0,0,0,0
8475755,2014,Alex Petrovic,FLA,D,all,33,32194,686,3.13,0.45,0.52,0.47,0.51,0.45,0.51,170,25.57,0.8,1.27,5.7,0.79,15.5,12.96,0.77,0.77,0.75,0,3,29,8,23,60,3,0,2,0,5,0,7,23,29,37,9,24,0,76,4,12,34,3,0,0.43,0.37,0,0,0,0,59.3,37,36.36,10,0.26,0.47,0,1.05,1.03,0.99,686,104,79,114,389,91,103,113,379,0,0,88885,24,20,7,34,232.33,18.34,17.81,18.34,17.82,228,92,123,443,15,15,5,243,66,11,6.84,8.13,3.36,9,4,2,440.86,320,318.34,3.09,3.34,3.12,18.31,18.32,18.08,276.17,22.54,21.96,22.77,22.18,263,124,106,493,22,19,3,295,74,18,8.23,8.63,5.69,8,9,5,496.06,387,390.09,3.76,3.44,3.92,22.38,22.55,22.27,64.88,60.3,1285,1242,0,0,0,0,0,0
8470729,2014,Tyson Strachan,BUF,D,all,46,52397,1134,-10.15,0.31,0.43,0.33,0.41,0.34,0.42,179,35.97,0.95,1.92,10.31,1.19,22.04,17.59,0.93,0.95,0.93,1,4,38,16,20,74,5,0,2,0,12,1,21,18,38,54,11,34,0,67,13,24,52,2,0,0.77,0.18,0,0,0,0,72.35,54,53,20,0.39,0.5,0.03,1.31,1.3,1.28,1134,95,205,186,648,143,170,174,647,0,0,115983,34,30,9,105,282.35,21.58,20.76,21.4,20.59,289,100,137,526,14,18,3,294,76,19,7.62,8.96,5,3,6,5,516.53,389,384.19,3.69,4.24,4.17,21.1,20.92,20.68,540.89,48.22,45.64,48.66,46.08,537,224,314,1075,64,24,6,566,158,37,16.02,18.37,13.83,16,30,18,1091.52,761,771.4,8.45,4.57,4.59,52.07,52.48,49.9,73.43,97.21,1401,2056,0,0,0,0,0,0
