name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Ryan Reaves,MIN,R,all,73,40825,15,5
Ilya Lyubushkin,BUF,D,all,68,61236,14,2
Matt Irwin,WSH,D,all,61,47720,5,2
Kevin Bahl,NJD,D,all,42,35331,8,2
Robby Fabbri,DET,C,all,28,26877,16,7
Michael Bunting,TOR,L,all,82,77721,49,23
Alex Iafallo,LAK,L,all,59,57702,36,14
Jonathan Toews,CHI,C,all,53,56320,31,15
Erik Johnson,COL,D,all,63,65222,8,0
Mason Appleton,WPG,C,all,41,39407,16,5
Adam Henrique,ANA,C,all,62,67630,38,22
Morgan Frost,PHI,C,all,81,79427,46,19
Ben Hutton,VGK,D,all,31,29749,8,3
Noel Acciari,TOR,C,all,77,66125,23,14
Dylan McIlrath,WSH,D,all,6,4203,1,0
Danton Heinen,PIT,L,all,65,41954,22,8
Adam Ginning,PHI,D,all,1,1000,0,0
Marcus Johansson,MIN,L,all,80,79152,46,19
Zemgus Girgensons,BUF,L,all,80,62289,18,10
Kent Johnson,CBJ,C,all,79,68808,40,16
Jonathan Drouin,MTL,L,all,58,51880,29,2
Tyler Angle,CBJ,C,all,2,1377,1,1
Dominik Kubalik,DET,L,all,81,72480,45,20
Brandon Duhaime,MIN,R,all,51,32916,10,9
Brett Ritchie,ARI,R,all,50,30151,13,8
Nathan Smith,ARI,C,all,4,1786,0,0
Alec Martinez,VGK,D,all,77,88819,14,3
Juuso Parssinen,NSH,C,all,45,38700,25,6
Vinni Lettieri,BOS,C,all,1,590,0,0
Alexander Edler,LAK,D,all,64,56734,11,2
Travis Boyd,ARI,C,all,82,81329,34,15
Kyle Okposo,BUF,R,all,75,66004,28,11
John Klingberg,MIN,D,all,67,82910,33,10
Jean-Luc Foudy,COL,C,all,9,5416,0,0
Rasmus Andersson,CGY,D,all,79,114172,49,11
Rasmus Ristolainen,PHI,D,all,74,84467,20,3
Nate Schmidt,WPG,D,all,71,78671,19,7
Brendan Gaunce,CBJ,C,all,5,3139,1,0
Lars Eller,COL,C,all,84,74551,23,10
Marco Rossi,MIN,C,all,19,14277,1,0
Alexandre Carrier,NSH,D,all,43,46152,9,2
Vladislav Kolyachonok,ARI,D,all,2,1651,0,0
Sean Walker,LAK,D,all,70,62277,13,3
Dmitri Samorukov,STL,D,all,2,1785,0,0
Ryan Johansen,NSH,C,all,55,52017,28,12
William Bitten,STL,C,all,4,1595,1,0
Sebastian Aho,NYI,D,all,71,71442,23,5
Ryan Poehling,PIT,C,all,53,37431,14,7
Darren Raddysh,TBL,D,all,17,16811,3,1
Joel Teasdale,MTL,L,all,2,1304,1,0
Anthony Beauvillier,VAN,L,all,82,80032,40,18
Karson Kuhlman,WPG,C,all,47,33399,7,3
Trey Fix-Wolansky,CBJ,R,all,9,6989,1,1
Craig Smith,WSH,C,all,64,42239,16,9
Nico Sturm,SJS,C,all,74,65402,26,14
Thomas Harley,DAL,D,all,6,6045,2,0
Erik Haula,NJD,L,all,80,79829,41,14
Carl Grundstrom,LAK,R,all,57,36772,19,12
Jackson LaCombe,ANA,D,all,2,2217,0,0
Alex Ovechkin,WSH,L,all,73,88494,75,42
Kasperi Kapanen,STL,R,all,66,54189,34,15
Tobias Bjornfot,LAK,D,all,10,8570,1,0
Ryan Suter,DAL,D,all,82,100267,25,3
Simon Edvinsson,DET,D,all,9,9217,2,2
Cal Foote,NSH,D,all,50,45367,7,2
Radko Gudas,FLA,D,all,72,74999,17,2
Kaapo Kakko,NYR,R,all,82,75310,40,18
Matt Grzelcyk,BOS,D,all,75,77550,26,4
Max Jones,ANA,L,all,69,52634,19,9
Arnaud Durandeau,NYI,L,all,4,3120,0,0
Otto Koivula,NYI,L,all,8,3293,2,0
Jordan Martinook,CAR,L,all,82,76913,34,13
Jordan Harris,MTL,D,all,65,72744,17,4
Jason Demers,EDM,D,all,1,644,0,0
Isac Lundestrom,ANA,C,all,61,52462,14,4
Calvin de Haan,CAR,D,all,53,43035,12,2
Mark Stone,VGK,R,all,43,49992,38,17
Matt Benning,SJS,D,all,77,91377,24,1
Corey Schueneman,MTL,D,all,7,6175,1,0
Mikael Pyyhtia,CBJ,L,all,2,1623,1,0
Connor McDavid,EDM,C,all,82,110137,153,64
JJ Peterka,BUF,R,all,77,63050,32,12
Ivan Provorov,PHI,D,all,82,113272,27,6
Drew Helleson,ANA,D,all,3,2457,1,1
Pierre Engvall,NYI,L,all,76,62184,30,17
Nikita Zadorov,CGY,D,all,82,91934,21,14
Tommy Novak,NSH,C,all,51,44839,43,17
Victor Hedman,TBL,D,all,76,108159,49,9
Josh Archibald,PIT,R,all,62,37114,12,6
Nils Hoglander,VAN,L,all,25,18083,9,3
Jakub Zboril,BOS,D,all,22,17542,4,1
Taylor Raddysh,CHI,R,all,78,77538,37,20
Kevin Labanc,SJS,R,all,72,61889,33,15
Will Cuylle,NYR,L,all,4,1670,0,0
Aaron Ekblad,FLA,D,all,71,99659,38,14
Luke Philp,CHI,C,all,3,2102,1,0
Gustav Forsling,FLA,D,all,82,115304,41,13
Morgan Barron,WPG,C,all,70,55680,21,8
Jack Rathbone,VAN,D,all,11,9395,2,1
Alex Killorn,TBL,L,all,82,84668,64,27
Joel Eriksson Ek,MIN,C,all,78,88895,61,23
Joona Koppanen,BOS,L,all,5,3248,1,0
Matt Coronato,CGY,R,all,1,878,0,0
Devin Shore,EDM,C,all,47,25281,9,1
David Gustafsson,WPG,C,all,46,27869,6,0
Dawson Mercer,NJD,C,all,82,81477,56,27
Elliot Desnoyers,PHI,L,all,4,3208,0,0
Matthew Kessel,STL,D,all,2,1819,0,0
Patrik Laine,CBJ,L,all,55,63099,52,22
Derek Ryan,EDM,C,all,80,53597,20,13
Tyler Kleven,OTT,D,all,8,7051,2,0
John Marino,NJD,D,all,64,80912,18,4
Ben Meyers,COL,C,all,39,22456,4,4
Brock Nelson,NYI,C,all,82,90702,75,36
Jani Hakanp,DAL,D,all,82,95108,16,6
Simon Benoit,ANA,D,all,78,90554,10,3
Blake Lizotte,LAK,C,all,81,62907,34,11
Michael Rasmussen,DET,C,all,56,50698,29,10
Derek Forbort,BOS,D,all,54,57452,12,5
Trent Frederic,BOS,C,all,79,56490,31,17
Alexander Alexeyev,WSH,D,all,32,31593,5,0
Calle Jarnkrok,TOR,C,all,73,62995,39,20
Jonas Brodin,MIN,D,all,60,82311,14,3
Timo Meier,NJD,R,all,78,90737,66,40
Andrei Svechnikov,CAR,R,all,64,69305,55,23
Patrice Bergeron,BOS,C,all,78,81393,58,27
