name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Ilya Lyubushkin,TOR,D,all,77,80654,15,2
Dominic Toninato,WPG,C,all,77,38801,14,7
Buddy Robinson,ANA,R,all,32,17754,6,1
Logan O'Connor,COL,R,all,81,67415,24,8
T.J. Tynan,LAK,C,all,2,1301,0,0
Declan Chisholm,WPG,D,all,2,1554,0,0
Jayden Halbgewachs,SJS,L,all,3,2357,1,0
Shea Theodore,VGK,D,all,78,108267,52,14
Nick Merkley,SJS,R,all,9,6702,3,1
Kevin Connauton,PHI,D,all,39,30599,3,1
Alex Steeves,TOR,C,all,3,1435,1,0
Victor Hedman,TBL,D,all,82,123372,85,20
Alexander Kerfoot,TOR,C,all,82,74856,51,13
Isaac Ratcliffe,PHI,L,all,10,6448,4,1
Johan Larsson,WSH,L,all,43,41048,21,7
Matt Grzelcyk,BOS,D,all,73,82025,24,4
Charlie McAvoy,BOS,D,all,78,115386,56,10
Pavel Dorofeyev,VGK,L,all,2,780,0,0
Simon Benoit,ANA,D,all,53,44814,5,1
Brendan Gallagher,MTL,R,all,56,50462,24,7
Thomas Hickey,NYI,D,all,2,2337,0,0
Petteri Lindbohm,FLA,D,all,9,7590,1,0
Alex Iafallo,LAK,L,all,79,87703,37,17
Jake DeBrusk,BOS,L,all,77,69468,42,25
Brett Seney,TOR,L,all,2,842,0,0
Keegan Kolesar,VGK,R,all,77,58445,24,7
Brenden Dillon,WPG,D,all,79,89267,20,3
Kyle Burroughs,VAN,D,all,42,32600,5,1
Cameron Hillis,MTL,C,all,1,615,0,0
Tyler Ennis,OTT,R,all,57,42896,24,8
Sean Kuraly,CBJ,C,all,77,73273,30,14
Ryan Poehling,MTL,C,all,57,41708,17,9
Christian Jaros,NJD,D,all,11,7267,0,0
Brayden Pachal,VGK,D,all,2,1171,0,0
Nicolas Deslauriers,MIN,L,all,81,55236,13,8
Eric Robinson,CBJ,L,all,67,55846,27,10
Jonathan Marchessault,VGK,C,all,76,80161,66,30
Victor Rask,SEA,C,all,47,34391,21,9
Matt Martin,NYI,L,all,71,48733,7,3
Andrew Peeke,CBJ,D,all,82,105665,15,2
Travis Boyd,ARI,C,all,74,73329,35,17
Trevor Zegras,ANA,C,all,75,80582,61,23
Danny DeKeyser,DET,D,all,59,65505,11,0
Jonas Rondbjerg,VGK,R,all,30,18022,6,2
Jason Zucker,PIT,L,all,41,36458,17,8
Troy Stecher,LAK,D,all,29,29003,3,1
Sam Reinhart,FLA,C,all,78,83112,82,33
Cale Fleury,SEA,D,all,2,1559,0,0
Evander Kane,EDM,L,all,43,50182,39,22
Adam Raska,SJS,R,all,5,2417,0,0
Anthony Mantha,WSH,R,all,37,33675,23,9
Zack Kassian,EDM,R,all,58,41010,19,6
Marc McLaughlin,BOS,C,all,11,6921,3,3
Andy Andreoff,NYI,C,all,6,3595,1,1
Brandon Baddock,MTL,L,all,1,504,0,0
Nicolas Aube-Kubel,COL,R,all,74,43584,23,11
Jakub Zboril,BOS,D,all,10,9435,3,0
Robin Salo,NYI,D,all,21,21031,5,1
Nolan Foote,NJD,L,all,7,4354,4,3
Jaycob Megna,SJS,D,all,44,50478,8,2
Joel Farabee,PHI,L,all,63,66479,34,17
Miro Heiskanen,DAL,D,all,70,104526,36,5
Mitchell Stephens,DET,C,all,27,18109,6,0
Zach Werenski,CBJ,D,all,68,104700,48,11
Nathan Bastian,NJD,R,all,72,51432,18,12
J.J. Moser,ARI,D,all,43,48228,15,4
Linus Hogberg,PHI,D,all,5,5119,2,0
Brandon Hagel,TBL,L,all,77,75568,44,25
Sean Monahan,CGY,C,all,65,54831,23,8
Kevin Labanc,SJS,R,all,21,16747,6,3
Andy Greene,NYI,D,all,69,72083,10,2
William Karlsson,VGK,C,all,67,73493,35,12
Robert Thomas,STL,C,all,72,81115,77,20
