name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Morgan Geekie,SEA,C,all,73,55224,22,7
David Pastrnak,BOS,R,all,72,80372,77,40
Jonny Brodzinski,NYR,C,all,22,14330,2,1
Curtis Lazar,BOS,C,all,70,50375,16,8
Matias Maccelli,ARI,L,all,23,19592,6,1
Ryan Graves,NJD,D,all,75,93211,28,6
Juho Lammikko,VAN,L,all,75,55242,15,7
Mark Scheifele,WPG,C,all,67,84958,70,29
Kris Letang,PIT,D,all,78,120638,68,10
Noah Hanifin,CGY,D,all,81,103554,48,10
Adam Fox,NYR,D,all,78,111886,74,11
John Marino,PIT,D,all,81,100295,25,1
Sam Steel,ANA,C,all,68,50233,20,6
Tanner Jeannot,NSH,L,all,81,77699,41,24
Mike Hoffman,MTL,C,all,67,68509,35,15
Nick Holden,OTT,D,all,76,90510,19,5
Henrik Borgstrom,CHI,C,all,52,32819,7,4
Danny O'Regan,ANA,C,all,5,3017,1,0
Corey Schueneman,MTL,D,all,24,23903,6,2
Dmitrij Jaskin,ARI,R,all,12,10645,1,0
Zachary Hayes,VGK,D,all,3,1959,0,0
Josiah Slavin,CHI,L,all,15,10827,1,0
John Carlson,WSH,D,all,78,111435,71,17
Grigori Denisenko,FLA,L,all,1,930,0,0
Carl Hagelin,WSH,L,all,53,45274,14,3
Bobby Brink,PHI,R,all,10,9269,4,0
Casey Cizikas,NYI,C,all,74,61036,16,10
Stefan Matteau,COL,C,all,1,219,0,0
Filip Hronek,DET,D,all,78,103086,38,5
Barclay Goodrow,NYR,C,all,79,79216,33,13
Wade Allison,PHI,R,all,1,496,0,0
Jake Evans,MTL,C,all,72,67371,29,13
Beck Malenstyn,WSH,L,all,12,6512,1,1
Sean Walker,LAK,D,all,6,6614,2,0
Patrick Brown,PHI,C,all,44,32825,9,4
Alex Goligoski,MIN,D,all,72,81784,30,2
Quinn Hughes,VAN,D,all,76,115056,68,8
Danton Heinen,PIT,L,all,76,57980,33,18
Phillip Danault,LAK,C,all,79,85916,51,27
Alexander Holtz,NJD,R,all,9,6626,2,0
Brett Murray,BUF,L,all,19,14804,6,2
Marcus Pettersson,PIT,D,all,72,67630,19,2
Jacob Moverare,LAK,D,all,19,18629,2,0
Zach Parise,NYI,L,all,82,75198,35,15
Boone Jenner,CBJ,C,all,59,72445,44,23
Jacob Middleton,MIN,D,all,66,73990,14,4
Connor Dewar,MIN,C,all,35,20782,6,2
Nick Seeler,PHI,D,all,43,33742,3,1
Evgeny Kuznetsov,WSH,C,all,79,96129,78,24
Frank Vatrano,NYR,C,all,71,56058,32,18
Cody Eakin,BUF,C,all,69,56250,12,4
Evan Rodrigues,PIT,C,all,82,77918,43,19
Hayden Hodgson,PHI,R,all,6,4752,3,1
Vinni Lettieri,ANA,C,all,31,23279,10,5
Rasmus Kupari,LAK,C,all,57,40359,13,5
Mackenzie MacEachern,STL,L,all,14,6694,2,0
Nino Niederreiter,CAR,R,all,75,66779,44,24
Ryan O'Reilly,STL,C,all,78,89298,58,21
Radek Faksa,DAL,C,all,77,72852,19,5
Michael Pezzetta,MTL,L,all,51,23978,11,5
Conor Sheary,WSH,L,all,71,65118,43,19
Axel Jonsson-Fjallby,WSH,L,all,23,15431,4,2
Christian Fischer,ARI,R,all,53,41698,10,5
Alex DeBrincat,CHI,L,all,82,102613,78,41
Michael Rasmussen,DET,C,all,80,69687,27,15
Morgan Frost,PHI,C,all,55,45944,16,5
Ben Hutton,VGK,D,all,58,53819,13,3
Kirill Semyonov,TOR,C,all,3,1807,0,0
Matt Duchene,NSH,C,all,78,88984,86,43
Jesper Fast,CAR,R,all,82,72868,34,14
Ryan MacInnis,BUF,C,all,1,600,0,0
Anze Kopitar,LAK,C,all,81,100940,67,19
Zemgus Girgensons,BUF,L,all,56,49692,18,10
Adam Ruzicka,CGY,C,all,28,17176,10,5
Nick Jensen,WSH,D,all,76,88215,21,5
Dmitry Orlov,WSH,D,all,76,95590,35,12
Steven Fogarty,BOS,C,all,2,1236,0,0
Carl Dahlstrom,TOR,D,all,3,2457,2,0
Casey Mittelstadt,BUF,C,all,40,38689,19,6
Karson Kuhlman,SEA,C,all,44,31425,10,3
Michael McCarron,NSH,R,all,51,31791,14,7
Pierre-Luc Dubois,WPG,L,all,81,91951,60,28
Dakota Joshua,STL,C,all,30,15287,8,3
Frederick Gaudreau,MIN,C,all,76,74391,44,14
Glenn Gawdin,CGY,C,all,2,1109,0,0
Cole Reinhardt,OTT,L,all,1,515,0,0
Nils Lundkvist,NYR,D,all,25,20898,4,1
Nathan Smith,ARI,C,all,10,8490,4,2
Paul Byron,MTL,L,all,27,20413,7,4
Gemel Smith,DET,C,all,2,865,0,0
Jansen Harkins,WPG,C,all,77,43782,13,7
David Gustafsson,WPG,C,all,2,296,0,0
Carter Rowney,DET,C,all,26,16643,6,4
Anton Stralman,ARI,D,all,74,94747,23,8
Michael Amadio,VGK,C,all,56,40857,18,11
Andre Burakovsky,COL,L,all,80,78040,61,22
Rasmus Sandin,TOR,D,all,51,51896,16,5
Benoit-Olivier Groulx,ANA,C,all,18,11874,3,1
Mark Borowiecki,NSH,D,all,57,44869,4,0
Josh Brown,BOS,D,all,52,44356,6,0
Ronnie Attard,PHI,D,all,15,14935,4,2
Andrei Svechnikov,CAR,R,all,78,80776,69,30
Michael Raffl,DAL,L,all,76,66285,16,7
Pavel Zacha,NJD,C,all,70,70788,36,15
Eeli Tolvanen,NSH,R,all,75,60425,23,11
Chandler Stephenson,VGK,C,all,79,91504,64,21
Brian Boyle,PIT,C,all,66,42724,21,11
John Leonard,SJS,L,all,14,9475,2,1
Derek Ryan,EDM,C,all,75,51439,22,10
Marian Studenic,DAL,L,all,33,22071,4,2
Colton White,NJD,D,all,27,21470,4,0
Greg Pateryn,ANA,D,all,10,8472,2,1
Jaden Schwartz,SEA,C,all,37,40974,23,8
Pierre-Olivier Joseph,PIT,D,all,4,4374,0,0
Josh Archibald,EDM,R,all,8,4340,1,0
Jack Rathbone,VAN,D,all,9,7465,0,0
Jonathan Huberdeau,FLA,L,all,80,93324,115,30
Dylan Coghlan,VGK,D,all,59,50269,13,3
Reilly Walsh,NJD,D,all,1,863,1,0
Jacob Larsson,ANA,D,all,6,5498,1,0
Joel Edmundson,MTL,D,all,24,28200,6,3
Tyler Toffoli,CGY,R,all,74,72387,49,20
Anthony Greco,NYR,R,all,1,584,0,0
Dustin Brown,LAK,R,all,64,56595,28,9
Noah Dobson,NYI,D,all,80,103012,51,13
Ville Heinola,WPG,D,all,12,10723,5,0
Josh Bailey,NYI,R,all,74,74990,44,14
Derek Grant,ANA,C,all,71,60976,29,15
Cam York,PHI,D,all,30,34346,10,3
Ryan Pulock,NYI,D,all,56,71014,21,5
Erik Brannstrom,OTT,D,all,53,62854,14,0
Jujhar Khaira,CHI,L,all,27,22032,3,3
Hampus Lindholm,BOS,D,all,71,95877,27,5
Alex Formenton,OTT,L,all,79,73241,32,18
Andrew Mangiapane,CGY,L,all,82,77377,55,35
P.K. Subban,NJD,D,all,77,84528,22,5
Matty Beniers,SEA,C,all,10,10164,9,3
Alexander True,SEA,C,all,8,3959,0,0
Jeremy Lauzon,NSH,D,all,66,69979,7,2
Anthony Beauvillier,NYI,L,all,75,75750,34,12
Alex Turcotte,LAK,C,all,8,5400,0,0
Timo Meier,SJS,R,all,77,88501,76,35
Mason Appleton,WPG,C,all,68,60731,21,8
Zach Aston-Reese,ANA,C,all,69,53975,15,5
Ryan Getzlaf,ANA,C,all,56,63699,37,3
Jordan Gross,COL,D,all,1,499,0,0
Fredrik Claesson,TBL,D,all,9,5327,0,0
Jack Johnson,COL,D,all,82,82251,14,2
Brayden Tracey,ANA,L,all,1,561,0,0
Bryan Rust,PIT,R,all,60,67573,58,24
Nic Dowd,WSH,C,all,64,54769,24,10
Adam Boqvist,CBJ,D,all,52,53183,22,11
Jalen Chatfield,CAR,D,all,16,14197,3,0
C.J. Smith,CAR,L,all,1,562,0,0
Jordan Staal,CAR,C,all,78,77838,36,17
Andrew Cogliano,COL,C,all,74,56254,16,4
Kevin Bahl,NJD,D,all,17,16060,4,1
Janne Kuokkanen,NJD,C,all,57,46141,17,6
Roman Josi,NSH,D,all,80,122661,96,23
Isaak Phillips,CHI,D,all,4,2961,0,0
Radko Gudas,FLA,D,all,77,83234,16,3
Kyle Rau,MIN,C,all,5,2645,0,0
Robert Bortuzzo,STL,D,all,73,60170,6,1
Jared Spurgeon,MIN,D,all,65,82485,40,10
Kyle Okposo,BUF,R,all,74,74489,45,21
Nikita Okhotiuk,NJD,D,all,5,4564,2,1
Kevin Shattenkirk,ANA,D,all,82,105372,35,8
Vladislav Gavrikov,CBJ,D,all,80,106978,33,5
Riley Stillman,CHI,D,all,52,46999,12,2
Anthony Cirelli,TBL,C,all,76,83504,43,17
Ben Meyers,COL,C,all,5,2984,1,1
Dryden Hunt,NYR,L,all,76,56031,17,6
Jared McCann,SEA,L,all,74,71653,50,27
Aliaksei Protas,WSH,C,all,33,23430,9,3
Walker Duehr,CGY,R,all,1,527,0,0
Loui Eriksson,ARI,L,all,73,56591,19,3
Justin Schultz,WSH,D,all,74,75125,23,4
Fredrik Karlstrom,DAL,C,all,3,1116,1,0
Dylan Gambrell,OTT,C,all,63,45875,7,3
Samuel Fagemo,LAK,L,all,4,3293,0,0
Yanni Gourde,SEA,C,all,74,82066,48,21
Mikhail Maltsev,COL,L,all,18,8717,0,0
Adam Gaudette,OTT,C,all,58,39392,14,5
Josh Norris,OTT,C,all,66,73573,55,35
Nic Petan,VAN,C,all,18,11110,2,0
Brendan Lemieux,LAK,L,all,50,32235,13,8
Lukas Vejdemo,MTL,C,all,6,3829,1,1
Rasmus Asplund,BUF,C,all,80,68533,27,8
Joseph Cramarossa,MIN,C,all,1,415,1,0
Tyler Seguin,DAL,C,all,81,86598,49,24
Gustav Lindstrom,DET,D,all,63,60926,13,1
Kirill Kaprizov,MIN,L,all,81,92864,108,47
Clark Bishop,OTT,C,all,9,4505,1,0
Ivan Barbashev,STL,C,all,81,79906,60,26
Erik Gustafsson,CHI,D,all,59,57412,18,3
Zach Whitecloud,VGK,D,all,59,66551,19,8
Jeff Skinner,BUF,L,all,80,82098,63,33
Tim Gettinger,NYR,L,all,8,4542,0,0
Luke Witkowski,DET,D,all,1,558,0,0
Artemi Panarin,NYR,L,all,75,86501,96,22
Jackson Cates,PHI,C,all,11,5992,1,1
Ilya Mikheyev,TOR,R,all,53,48524,32,21
Jonathan Drouin,MTL,L,all,34,34873,20,6
Seth Jones,CHI,D,all,63,99650,45,5
Thomas Novak,NSH,C,all,27,19106,7,1
Nick Cousins,NSH,C,all,68,50871,22,9
Sebastian Aho,NYI,D,all,36,35543,12,2
Michael Sgarbossa,WSH,C,all,10,5937,4,2
Alex Pietrangelo,VGK,D,all,80,118295,44,13
Mason McTavish,ANA,C,all,9,7063,3,2
Turner Elson,DET,C,all,2,1605,0,0
Nolan Patrick,VGK,C,all,25,17260,7,2
Riley Tufte,DAL,L,all,10,4319,1,1
John Hayden,BUF,C,all,55,35797,4,2
Tyler Motte,NYR,C,all,58,48759,15,7
Jack Drury,CAR,C,all,2,1915,2,2
Pius Suter,DET,C,all,82,83266,36,15
James van Riemsdyk,PHI,L,all,82,79273,38,24
Ben Chiarot,FLA,D,all,74,101449,26,9
Mathieu Olivier,NSH,R,all,10,6059,1,0
Connor Murphy,CHI,D,all,57,74428,10,4
Jesperi Kotkaniemi,CAR,C,all,66,47612,29,12
Michal Kempny,WSH,D,all,15,14255,2,1
Rasmus Dahlin,BUF,D,all,80,115269,53,13
Lias Andersson,LAK,C,all,20,12738,2,1
Matt Dumba,MIN,D,all,57,79020,27,7
Mikey Anderson,LAK,D,all,57,68790,8,2
Cam Atkinson,PHI,R,all,73,79920,50,23
Mark Giordano,TOR,D,all,75,93960,35,8
Nick Leddy,STL,D,all,75,96386,24,3
Kailer Yamamoto,EDM,R,all,81,81993,41,20
Teuvo Teravainen,CAR,L,all,77,81772,65,22
Tyler Johnson,CHI,C,all,32,24274,8,3
Mattias Ekholm,NSH,D,all,76,107061,31,6
Ryan McLeod,EDM,C,all,71,54358,21,9
Arthur Kaliyev,LAK,R,all,80,60716,27,14
Tomas Nosek,BOS,L,all,75,60111,17,3
Brandon Tanev,SEA,L,all,30,26222,15,9
Lane Pederson,SJS,C,all,29,18302,2,0
Jesse Puljujarvi,EDM,R,all,65,63302,36,14
Kristian Vesalainen,WPG,L,all,53,27572,3,2
JJ Peterka,BUF,R,all,2,1935,0,0
Brett Leason,WSH,R,all,36,19344,6,3
Devin Shore,EDM,C,all,49,28111,11,5
Grant Hutton,NYI,D,all,16,13619,1,1
Jordan Eberle,SEA,R,all,79,85094,44,21
Cal Foote,TBL,D,all,56,44103,9,2
Jack Roslovic,CBJ,C,all,81,69407,45,22
Morgan Barron,WPG,C,all,27,15875,5,2
Victor Mete,OTT,D,all,37,32466,7,0
Kyle Capobianco,ARI,D,all,45,43211,9,2
Jack Hughes,NJD,C,all,49,57522,56,26
Evgenii Dadonov,VGK,R,all,78,74048,43,20
Brock Nelson,NYI,C,all,72,76355,59,37
Jamie Oleksiak,SEA,D,all,72,83518,17,1
Erik Cernak,TBL,D,all,55,63205,13,1
Owen Power,BUF,D,all,8,10601,3,2
Victor Soderstrom,ARI,D,all,16,15668,0,0
Kevin Rooney,NYR,C,all,61,50691,12,6
Zac Jones,NYR,D,all,12,10925,2,0
Jani Hakanpaa,DAL,D,all,80,77800,12,4
A.J. Greer,NJD,L,all,9,4242,2,1
Chris Kreider,NYR,L,all,81,91028,77,52
Cam Dineen,ARI,D,all,34,31903,7,0
William Lagesson,MTL,D,all,33,24909,5,0
Filip Hallander,PIT,C,all,1,352,0,0
Alex Chiasson,VAN,R,all,67,46634,22,13
Ryan Carpenter,CGY,C,all,67,50579,12,3
Ben Harpur,NSH,D,all,19,15662,1,0
Mike Vecchione,WSH,R,all,1,306,0,0
Pavel Buchnevich,STL,L,all,73,80155,76,30
Mika Zibanejad,NYR,C,all,81,95415,81,29
Libor Hajek,NYR,D,all,17,13391,1,0
Ondrej Kase,TOR,R,all,50,41962,27,14
Austin Czarnik,SEA,C,all,17,11118,7,2
Alex Biega,TOR,D,all,2,1574,0,0
Luke Glendening,DAL,C,all,82,69449,16,9
Patrick Kane,CHI,R,all,78,102133,92,26
Kyle Palmieri,NYI,R,all,69,64687,33,15
Josh Anderson,MTL,R,all,69,71313,32,19
Jordan Greenway,MIN,L,all,62,54172,27,10
Adam Henrique,ANA,C,all,58,60620,42,19
Justin Bailey,VAN,R,all,14,7626,0,0
Justin Faulk,STL,D,all,76,105779,47,16
Christopher Tanev,CGY,D,all,82,100635,28,6
Jordie Benn,MIN,D,all,39,35052,8,1
Brandon Carlo,BOS,D,all,79,93403,15,6
Quinton Byfield,LAK,C,all,40,29176,10,5
Jonathan Dahlen,SJS,C,all,61,50479,22,12
Vladimir Tarasenko,STL,R,all,75,76101,82,34
Kyle Clifford,TOR,L,all,25,13196,4,1
Rickard Rakell,PIT,R,all,70,75538,41,20
Milan Lucic,CGY,L,all,82,60302,21,10
Adam Lowry,WPG,C,all,79,73377,21,13
Alexandre Carrier,NSH,D,all,77,96933,30,3
Gabriel Carlsson,CBJ,D,all,38,27969,9,2
Haydn Fleury,SEA,D,all,43,41478,4,2
Mario Ferraro,SJS,D,all,63,86943,14,2
Jake McCabe,CHI,D,all,75,91379,22,4
Dean Kukan,CBJ,D,all,41,40078,11,3
Michael Bunting,TOR,L,all,79,73671,63,23
K'Andre Miller,NYR,D,all,82,101359,20,7
Paul LaDue,NYI,D,all,1,767,0,0
Marcus Johansson,WSH,L,all,69,66772,29,9
Joey Keane,CAR,D,all,1,818,0,0
Chris Tierney,OTT,C,all,70,52141,18,6
Braden Schneider,NYR,D,all,43,39929,11,2
Garnet Hathaway,WSH,R,all,76,61054,26,14
Jon Merrill,MIN,D,all,69,70847,20,4
Michael Dal Colle,NYI,L,all,1,874,0,0
Tim Stutzle,OTT,L,all,79,87270,58,22
Sam Gagner,DET,C,all,81,66194,31,13
Jason Spezza,TOR,C,all,71,45778,25,12
Chris Wagner,BOS,R,all,1,957,0,0
Mark Stone,VGK,R,all,37,40722,30,9
Darren Raddysh,TBL,D,all,4,2561,0,0
Nils Hoglander,VAN,L,all,60,47213,18,10
Aleksander Barkov,FLA,C,all,67,81619,88,39
Pierre-Edouard Bellemare,TBL,L,all,80,66035,20,9
Denis Gurianov,DAL,R,all,73,62131,31,11
Nazem Kadri,COL,C,all,71,81958,87,28
Matt Boldy,MIN,L,all,47,43382,39,15
Claude Giroux,FLA,R,all,75,85732,65,21
Connor McMichael,WSH,C,all,68,42710,18,9
Zac Dalpe,FLA,C,all,1,368,0,0
Jake Leschyshyn,VGK,C,all,41,27801,6,2
Mats Zuccarello,MIN,R,all,70,78075,79,24
Jay Beagle,ARI,C,all,33,27295,2,1
Tyler Benson,EDM,L,all,29,14858,2,1
Riley Nash,ARI,C,all,49,33597,4,0
Joel Kiviranta,DAL,L,all,56,31994,7,1
Matthew Highmore,VAN,C,all,46,35038,12,5
Philip Broberg,EDM,D,all,23,18588,3,1
Otto Koivula,NYI,L,all,8,5157,2,0
Brett Ritchie,CGY,R,all,41,23917,4,3
Christian Wolanin,LAK,D,all,9,7936,2,1
Henri Jokiharju,BUF,D,all,60,78766,19,3
Rocco Grimaldi,NSH,R,all,7,4590,0,0
Bo Horvat,VAN,C,all,70,81853,52,31
Sonny Milano,ANA,L,all,66,60501,34,14
Carson Soucy,SEA,D,all,64,67814,21,10
Vince Dunn,SEA,D,all,73,90559,35,7
Blake Speers,ARI,C,all,2,1099,0,0
Joe Veleno,DET,C,all,66,52329,15,8
Marc Staal,DET,D,all,71,74225,16,3
Cole Sillinger,CBJ,C,all,79,64941,31,16
Travis Konecny,PHI,R,all,79,83489,52,16
Ryan Murray,COL,D,all,37,31274,4,0
Liam Foudy,CBJ,C,all,1,711,0,0
Brandon Duhaime,MIN,R,all,80,49047,17,6
Esa Lindell,DAL,D,all,76,100526,25,4
Boris Katchouk,CHI,L,all,59,35118,7,3
Casey Fitzgerald,BUF,D,all,36,36450,6,0
Taylor Hall,BOS,L,all,81,79761,61,20
Jake Bean,CBJ,D,all,67,82684,25,7
Eetu Luostarinen,FLA,C,all,78,62887,26,9
Sean Couturier,PHI,C,all,29,35475,17,6
Nate Schmidt,WPG,D,all,77,93367,32,4
Trevor Lewis,CGY,C,all,80,61591,16,6
Scott Sabourin,OTT,R,all,7,3190,2,0
Sheldon Dries,VAN,C,all,11,6798,3,2
Drake Caggiula,BUF,C,all,18,15807,5,2
Josh Mahura,ANA,D,all,38,32058,7,3
Cole Schwindt,FLA,C,all,3,2544,0,0
Kevin Fiala,MIN,L,all,82,86824,85,33
Juuso Valimaki,CGY,D,all,9,8481,2,0
Alex Barre-Boulet,TBL,C,all,16,10562,6,3
Scott Reedy,SJS,C,all,35,23491,9,7
Alexander Alexeyev,WSH,D,all,1,635,0,0
Calle Jarnkrok,CGY,C,all,66,63509,30,12
Paul Stastny,WPG,C,all,71,75756,45,21
Moritz Seider,DET,D,all,82,113384,50,7
Luke Schenn,VAN,D,all,66,68151,17,5
Gustav Nyquist,CBJ,C,all,82,87776,53,18
Dillon Dube,CGY,C,all,79,60857,32,18
Erik Gudbranson,CGY,D,all,78,84892,17,6
Brendan Perlini,EDM,L,all,23,11554,5,4
Rafael Harvey-Pinard,MTL,L,all,4,3141,1,1
Will Butcher,BUF,D,all,37,36593,8,2
Alexandre Texier,CBJ,C,all,36,31552,20,11
Tyler Lewington,BOS,D,all,2,1493,0,0
Barrett Hayton,ARI,C,all,60,58025,24,10
Jimmy Vesey,NJD,L,all,68,58850,15,8
Martin Frk,LAK,R,all,6,5051,2,2
Nikita Zaitsev,OTT,D,all,62,70643,11,2
Brayden McNabb,VGK,D,all,69,81558,18,3
Tony DeAngelo,CAR,D,all,64,76065,51,10
Logan Brown,STL,C,all,39,23844,11,4
Jordan Martinook,CAR,L,all,59,39651,15,6
Brent Burns,SJS,D,all,82,128642,54,10
Ryan Lindgren,NYR,D,all,78,94070,15,4
William Carrier,VGK,L,all,63,43938,20,9
Tomas Tatar,NJD,L,all,76,67635,30,15
Blake Comeau,DAL,L,all,6,4129,1,1
Robby Fabbri,DET,C,all,56,58227,30,17
Artemi Kniazev,SJS,D,all,1,719,0,0
Nicolas Meloche,SJS,D,all,50,50627,7,2
Andrej Sustr,ANA,D,all,38,33569,6,1
Ross Johnston,NYI,L,all,32,19721,7,2
Joel Armia,MTL,R,all,60,49405,14,6
Oskar Steen,BOS,C,all,20,13288,6,2
Vincent Trocheck,CAR,C,all,81,86867,51,21
Patrik Laine,CBJ,L,all,56,63267,56,26
Michael Carcone,ARI,L,all,21,15515,6,4
Nathan Walker,STL,L,all,30,20776,12,8
Hudson Fasching,ARI,R,all,11,6523,0,0
Kale Clague,MTL,D,all,36,36153,10,2
Sean Durzi,LAK,D,all,64,75243,27,3
Justin Holl,TOR,D,all,69,83662,23,3
Kyle Connor,WPG,L,all,79,103219,93,47
Adam Larsson,SEA,D,all,82,109622,25,8
Philipp Kurashev,CHI,C,all,67,51673,21,6
Martin Necas,CAR,C,all,78,75760,40,14
Charlie Coyle,BOS,C,all,82,85647,44,16
Jason Dickinson,VAN,C,all,62,48516,11,5
Dmitry Kulikov,MIN,D,all,80,87341,24,7
Adrian Kempe,LAK,C,all,78,86972,54,35
Brad Hunt,VAN,D,all,50,45759,17,3
Tom Wilson,WSH,R,all,78,86965,52,24
Radim Zohorna,PIT,L,all,17,10534,6,2
Matt Benning,NSH,D,all,65,63715,11,0
Tage Thompson,BUF,R,all,78,83676,68,38
Martin Fehervary,WSH,D,all,79,93155,17,8
Rem Pitlick,MTL,C,all,65,58355,37,15
Morgan Rielly,TOR,D,all,82,116791,68,10
Joonas Donskoi,SEA,R,all,75,66767,22,2
Alexander Edler,LAK,D,all,41,45418,19,3
Logan Couture,SJS,C,all,77,87469,56,23
Chris Wideman,MTL,D,all,64,57124,27,4
Dylan DeMelo,WPG,D,all,76,84356,13,1
Mattias Janmark,VGK,C,all,67,57664,25,9
Kyle Criscuolo,DET,C,all,6,3440,2,0
Rasmus Andersson,CGY,D,all,82,111582,50,4
Oliver Kylington,CGY,D,all,73,79532,31,9
William Nylander,TOR,R,all,81,88807,80,34
Kent Johnson,CBJ,C,all,9,6719,3,0
Urho Vaakanainen,ANA,D,all,29,33614,6,0
Philip Tomasino,NSH,C,all,76,52606,32,11
Markus Nutivaara,FLA,D,all,1,421,1,0
Dylan Samberg,WPG,D,all,15,13368,5,0
Mason Shaw,MIN,C,all,3,1618,0,0
Kole Sherwood,NSH,R,all,1,488,0,0
Guillaume Brisebois,VAN,D,all,1,253,0,0
Nicolas Roy,VGK,C,all,78,76092,39,15
Mikael Backlund,CGY,C,all,82,84222,39,12
Zach Sanford,WPG,L,all,80,68635,21,9
Kevin Stenlund,CBJ,C,all,3,1355,0,0
Mason Geertsen,NJD,D,all,25,10435,0,0
Jonas Siegenthaler,NJD,D,all,70,86380,14,1
Brandon Biro,BUF,L,all,1,810,0,0
Greg McKegg,NYR,C,all,43,28037,5,2
Mitchell Marner,TOR,R,all,72,90214,97,35
Alexander Romanov,MTL,D,all,79,96669,13,3
Steven Stamkos,TBL,C,all,81,89803,106,42
Chase Priskie,FLA,D,all,4,3361,0,0
Patrik Nemeth,NYR,D,all,63,62879,7,2
Andrew Agozzino,OTT,L,all,1,412,0,0
Max McCormick,SEA,L,all,10,4860,0,0
Cale Makar,COL,D,all,77,118586,86,28
Alex Killorn,TBL,L,all,82,91989,59,25
Ben Jones,VGK,C,all,2,965,0,0
Colin White,OTT,C,all,24,22086,10,3
Mitchell Chaffee,MIN,R,all,2,894,0,0
Artturi Lehkonen,COL,L,all,74,67022,38,19
Cody Ceci,EDM,D,all,78,97795,28,5
Jack Quinn,BUF,R,all,2,1785,2,1
