name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Seth Jones,CHI,D,all,27,41174,11,0
Corey Perry,CHI,R,all,16,14068,9,4
Jason Robertson,DAL,L,all,28,30205,27,9
Jakub Lauko,BOS,C,all,20,11556,3,0
Luke Schenn,NSH,D,all,11,9776,1,0
William Eklund,SJS,L,all,29,31695,14,7
Simon Benoit,TOR,D,all,14,12365,0,0
Alex Goligoski,MIN,D,all,10,8223,3,0
Calvin de Haan,TBL,D,all,27,25496,3,0
Mason Marchment,DAL,L,all,28,24194,19,9
Andrei Kuzmenko,VAN,L,all,27,24186,17,6
Lawson Crouse,ARI,L,all,28,28521,19,13
Sean Durzi,ARI,D,all,25,33611,13,5
Jesperi Kotkaniemi,CAR,C,all,30,27351,15,8
Josh Anderson,MTL,R,all,29,28864,5,1
Seth Jarvis,CAR,C,all,30,34341,21,10
Teuvo Teravainen,CAR,L,all,30,30536,19,11
Ondrej Pavel,COL,C,all,1,419,0,0
Jonathan Huberdeau,CGY,C,all,30,31464,15,4
Tyler Toffoli,NJD,R,all,27,29033,21,12
Pavel Dorofeyev,VGK,L,all,13,10175,6,2
Jake Middleton,MIN,D,all,27,31173,10,4
Arthur Kaliyev,LAK,R,all,23,18555,12,6
Anders Lee,NYI,L,all,29,26245,10,7
Connor Brown,EDM,R,all,21,18444,1,0
Evgeny Kuznetsov,WSH,C,all,22,27251,11,5
Scott Mayfield,NYI,D,all,20,23058,4,0
Hudson Fasching,NYI,R,all,19,13713,5,1
Brayden McNabb,VGK,D,all,31,37311,11,2
Milos Kelemen,ARI,L,all,10,4609,1,0
Vladimir Tarasenko,OTT,R,all,24,23522,19,6
John Tavares,TOR,C,all,27,30524,28,8
Dougie Hamilton,NJD,D,all,20,25170,16,5
Luke Kunin,SJS,C,all,25,23081,7,5
Mattias Janmark,EDM,C,all,17,13305,5,1
Nicolas Deslauriers,PHI,L,all,29,15676,3,0
Marc Staal,PHI,D,all,12,9834,1,0
Cole Sillinger,CBJ,C,all,26,21811,9,1
Rasmus Ristolainen,PHI,D,all,9,9204,1,0
Jordan Staal,CAR,C,all,30,27784,10,4
William Karlsson,VGK,C,all,31,32849,28,13
Connor Zary,CGY,C,all,20,18356,15,6
Andre Burakovsky,SEA,L,all,7,6131,3,0
MacKenzie Entwistle,CHI,R,all,21,14073,5,2
Jake Evans,MTL,C,all,29,24743,9,2
Austin Czarnik,DET,C,all,14,7269,1,0
Sebastian Aho,CAR,C,all,27,31937,26,11
Cole Smith,NSH,L,all,29,23210,12,4
Emil Bemstrom,CBJ,R,all,16,12766,7,4
Taylor Hall,CHI,L,all,10,9798,4,2
Curtis Lazar,NJD,C,all,25,18066,8,4
Austin Watson,TBL,L,all,15,5852,1,1
Cam Fowler,ANA,D,all,29,42666,12,2
Evander Kane,EDM,L,all,27,29235,21,12
Colton Parayko,STL,D,all,29,40650,9,4
Arber Xhekaj,MTL,D,all,17,15040,3,1
Jesse Ylnen,MTL,R,all,22,13827,5,3
Jacob Trouba,NYR,D,all,28,37750,13,2
Jared Spurgeon,MIN,D,all,13,18122,4,0
Jamie Benn,DAL,L,all,28,25367,20,5
Zemgus Girgensons,BUF,L,all,20,15067,2,2
Scott Laughton,PHI,C,all,29,27442,13,2
Jayden Struble,MTL,D,all,11,8420,3,2
Elias Lindholm,CGY,C,all,30,37656,19,7
Evgenii Dadonov,DAL,R,all,26,21538,11,6
Tristan Luneau,ANA,D,all,7,7506,3,1
Travis Hamonic,OTT,D,all,25,22146,5,2
Michael Carcone,ARI,L,all,28,18586,17,14
Casey Mittelstadt,BUF,C,all,31,35420,25,8
Jordan Martinook,CAR,L,all,30,26488,8,1
Sean Kuraly,CBJ,C,all,31,25882,9,5
Ben Hutton,VGK,D,all,25,24023,5,1
Jack Roslovic,CBJ,C,all,14,13871,8,2
Ondrej Palat,NJD,L,all,27,25685,13,4
Oskar Sundqvist,STL,C,all,29,23848,12,3
Travis Boyd,ARI,C,all,16,9237,8,2
Kaiden Guhle,MTL,D,all,25,31939,8,2
Anthony Duclair,SJS,L,all,27,26561,11,6
Timo Meier,NJD,R,all,20,20726,11,5
Mark Jankowski,NSH,C,all,2,1552,1,1
